locus_tag	old_locus_tag
LK433_RS00005	LK433_00005
LK433_RS00010	LK433_00010
LK433_RS00015	LK433_00015
LK433_RS00020	LK433_00020
LK433_RS00025	LK433_00025
LK433_RS00030	LK433_00030
LK433_RS00035	LK433_00035
LK433_RS00040	LK433_00040
LK433_RS00045	LK433_00045
LK433_RS00050	LK433_00050
LK433_RS00055	LK433_00055
LK433_RS00060	LK433_00060
LK433_RS00065	LK433_00065
LK433_RS00070	LK433_00070
LK433_RS00075	LK433_00075
LK433_RS00080	LK433_00080
LK433_RS00085	LK433_00085
LK433_RS00090	LK433_00090
LK433_RS00095	LK433_00095
LK433_RS00100	LK433_00100
LK433_RS00105	LK433_00105
LK433_RS00110	LK433_00110
LK433_RS00115	LK433_00115
LK433_RS00120	LK433_00120
LK433_RS00125	LK433_00125
LK433_RS00130	LK433_00130
LK433_RS00135	LK433_00135
LK433_RS00140	LK433_00140
LK433_RS00145	LK433_00145
LK433_RS00150	LK433_00150
LK433_RS00155	LK433_00155
LK433_RS00160	LK433_00160
LK433_RS00165	LK433_00165
LK433_RS00170	LK433_00170
LK433_RS00175	LK433_00175
LK433_RS00180	LK433_00180
LK433_RS00185	LK433_00185
LK433_RS00190	LK433_00190
LK433_RS00195	LK433_00195
LK433_RS00200	LK433_00200
LK433_RS00205	LK433_00205
LK433_RS00210	LK433_00210
LK433_RS00215	LK433_00215
LK433_RS00220	LK433_00220
LK433_RS00225	LK433_00225
LK433_RS00230	LK433_00230
LK433_RS00235	LK433_00235
LK433_RS00240	LK433_00240
LK433_RS00245	LK433_00245
LK433_RS00250	LK433_00250
LK433_RS00255	LK433_00255
LK433_RS00260	LK433_00260
LK433_RS00265	LK433_00265
LK433_RS00270	LK433_00270
LK433_RS00275	LK433_00275
LK433_RS00280	LK433_00280
LK433_RS00285	LK433_00285
LK433_RS00290	LK433_00290
LK433_RS00295	LK433_00295
LK433_RS00300	LK433_00300
LK433_RS00305	LK433_00305
LK433_RS00310	LK433_00310
LK433_RS00315	LK433_00315
LK433_RS00320	LK433_00320
LK433_RS00325	LK433_00325
LK433_RS00330	LK433_00330
LK433_RS00335	LK433_00335
LK433_RS00340	LK433_00340
LK433_RS00345	LK433_00345
LK433_RS00350	LK433_00350
LK433_RS00355	LK433_00355
LK433_RS00360	LK433_00360
LK433_RS00365	LK433_00365
LK433_RS00370	LK433_00370
LK433_RS00375	LK433_00375
LK433_RS00380	LK433_00380
LK433_RS00385	LK433_00385
LK433_RS00390	LK433_00390
LK433_RS00395	LK433_00395
LK433_RS00400	LK433_00400
LK433_RS00405	LK433_00405
LK433_RS00410	LK433_00410
LK433_RS00415	LK433_00415
LK433_RS00420	LK433_00420
LK433_RS00425	LK433_00425
LK433_RS00430	LK433_00430
LK433_RS00435	LK433_00435
LK433_RS00440	LK433_00440
LK433_RS00445	LK433_00445
LK433_RS00450	LK433_00450
LK433_RS00455	LK433_00455
LK433_RS00460	LK433_00460
LK433_RS00465	LK433_00465
LK433_RS00470	LK433_00470
LK433_RS00475	LK433_00475
LK433_RS00480	LK433_00480
LK433_RS00485	LK433_00485
LK433_RS00490	LK433_00490
LK433_RS00495	LK433_00495
LK433_RS00500	LK433_00500
LK433_RS00505	LK433_00505
LK433_RS00510	LK433_00510
LK433_RS00515	LK433_00515
LK433_RS00520	LK433_00520
LK433_RS00525	LK433_00525
LK433_RS00530	LK433_00530
LK433_RS00535	LK433_00535
LK433_RS00540	LK433_00540
LK433_RS00545	LK433_00545
LK433_RS00550	LK433_00550
LK433_RS00555	LK433_00555
LK433_RS00560	LK433_00560
LK433_RS00565	LK433_00565
LK433_RS00570	LK433_00570
LK433_RS00575	LK433_00575
LK433_RS00580	LK433_00580
LK433_RS00585	LK433_00585
LK433_RS00590	LK433_00590
LK433_RS00595	LK433_00595
LK433_RS00600	LK433_00600
LK433_RS00605	LK433_00605
LK433_RS00610	LK433_00610
LK433_RS00615	LK433_00615
LK433_RS00620	LK433_00620
LK433_RS00625	LK433_00625
LK433_RS00630	LK433_00630
LK433_RS00635	LK433_00635
LK433_RS00640	LK433_00640
LK433_RS00645	LK433_00645
LK433_RS00650	LK433_00650
LK433_RS00655	LK433_00655
LK433_RS00660	LK433_00660
LK433_RS00665	LK433_00665
LK433_RS00670	LK433_00670
LK433_RS00675	LK433_00675
LK433_RS00680	LK433_00680
LK433_RS00685	LK433_00685
LK433_RS00690	LK433_00690
LK433_RS00695	LK433_00695
LK433_RS00700	LK433_00700
LK433_RS00705	LK433_00705
LK433_RS00710	LK433_00710
LK433_RS00715	LK433_00715
LK433_RS00720	LK433_00720
LK433_RS00725	LK433_00725
LK433_RS00730	LK433_00730
LK433_RS00735	LK433_00735
LK433_RS00740	LK433_00740
LK433_RS00745	LK433_00745
LK433_RS00750	LK433_00750
LK433_RS00755	LK433_00755
LK433_RS00760	LK433_00760
LK433_RS00765	LK433_00765
LK433_RS00770	LK433_00770
LK433_RS00775	LK433_00775
LK433_RS00780	LK433_00780
LK433_RS00785	LK433_00785
LK433_RS00790	LK433_00790
LK433_RS00795	LK433_00795
LK433_RS00800	LK433_00800
LK433_RS00805	LK433_00805
LK433_RS00810	LK433_00810
LK433_RS00815	LK433_00815
LK433_RS00820	LK433_00820
LK433_RS00825	LK433_00825
LK433_RS00830	LK433_00830
LK433_RS00835	LK433_00835
LK433_RS00840	LK433_00840
LK433_RS00845	LK433_00845
LK433_RS00850	LK433_00850
LK433_RS00855	LK433_00855
LK433_RS00860	LK433_00860
LK433_RS00865	LK433_00865
LK433_RS00870	LK433_00870
LK433_RS00875	LK433_00875
LK433_RS00880	LK433_00880
LK433_RS00885	LK433_00885
LK433_RS00890	LK433_00890
LK433_RS00895	LK433_00895
LK433_RS00900	LK433_00900
LK433_RS00905	LK433_00905
LK433_RS00910	LK433_00910
LK433_RS00915	LK433_00915
LK433_RS00920	LK433_00920
LK433_RS00925	LK433_00925
LK433_RS00930	LK433_00930
LK433_RS00935	LK433_00935
LK433_RS00940	LK433_00940
LK433_RS00945	LK433_00945
LK433_RS00950	LK433_00950
LK433_RS00955	LK433_00955
LK433_RS00960	LK433_00960
LK433_RS00965	LK433_00965
LK433_RS00970	LK433_00970
LK433_RS00975	LK433_00975
LK433_RS00980	LK433_00980
LK433_RS00985	LK433_00985
LK433_RS00990	LK433_00990
LK433_RS00995	LK433_00995
LK433_RS01000	LK433_01000
LK433_RS01005	LK433_01005
LK433_RS01010	LK433_01010
LK433_RS01015	LK433_01015
LK433_RS01020	LK433_01020
LK433_RS01025	LK433_01025
LK433_RS01030	LK433_01030
LK433_RS01035	LK433_01035
LK433_RS01040	LK433_01040
LK433_RS01045	LK433_01045
LK433_RS01050	LK433_01050
LK433_RS01055	LK433_01055
LK433_RS01060	LK433_01060
LK433_RS01065	LK433_01065
LK433_RS01070	LK433_01070
LK433_RS01075	LK433_01075
LK433_RS01080	LK433_01080
LK433_RS01085	LK433_01085
LK433_RS01090	LK433_01090
LK433_RS01095	LK433_01095
LK433_RS01100	LK433_01100
LK433_RS01105	LK433_01105
LK433_RS01110	LK433_01110
LK433_RS01115	LK433_01115
LK433_RS01120	LK433_01120
LK433_RS01125	LK433_01125
LK433_RS01130	LK433_01130
LK433_RS01135	LK433_01135
LK433_RS01140	LK433_01140
LK433_RS01145	LK433_01145
LK433_RS01150	LK433_01150
LK433_RS01155	LK433_01155
LK433_RS01160	LK433_01160
LK433_RS01165	LK433_01165
LK433_RS01170	LK433_01170
LK433_RS01175	LK433_01175
LK433_RS01180	LK433_01180
LK433_RS01185	LK433_01185
LK433_RS01190	LK433_01190
LK433_RS01195	LK433_01195
LK433_RS01200	LK433_01200
LK433_RS01205	LK433_01205
LK433_RS01210	LK433_01210
LK433_RS01215	LK433_01215
LK433_RS01220	LK433_01220
LK433_RS01225	LK433_01225
LK433_RS01230	LK433_01230
LK433_RS01235	LK433_01235
LK433_RS01240	LK433_01240
LK433_RS01245	LK433_01245
LK433_RS01250	LK433_01250
LK433_RS01255	LK433_01255
LK433_RS01260	LK433_01260
LK433_RS01265	LK433_01265
