Bovatus_RS00010	Bovatus_00002
Bovatus_RS00015	Bovatus_00003
Bovatus_RS00020	Bovatus_00004
Bovatus_RS00025	Bovatus_00005
Bovatus_RS00030	Bovatus_00006
Bovatus_RS00035	Bovatus_00007
Bovatus_RS00040	Bovatus_00008
Bovatus_RS00045	Bovatus_00009
Bovatus_RS00050	Bovatus_00010
Bovatus_RS00055	Bovatus_00011
Bovatus_RS00060	Bovatus_00012
Bovatus_RS00065	Bovatus_00013
Bovatus_RS00070	Bovatus_00014
Bovatus_RS00075	Bovatus_00015
Bovatus_RS00080	Bovatus_00016
Bovatus_RS00085	Bovatus_00017
Bovatus_RS00090	Bovatus_00018
Bovatus_RS00095	Bovatus_00019
Bovatus_RS00100	Bovatus_00020
Bovatus_RS00105	Bovatus_00021
Bovatus_RS00110	Bovatus_00022
Bovatus_RS00115	Bovatus_00023
Bovatus_RS00120	Bovatus_00024
Bovatus_RS00125	Bovatus_00025
Bovatus_RS00130	Bovatus_00026
Bovatus_RS00135	Bovatus_00028
Bovatus_RS00140	Bovatus_00029
Bovatus_RS00145	Bovatus_00030
Bovatus_RS00150	Bovatus_00031
Bovatus_RS00155	Bovatus_00032
Bovatus_RS00160	Bovatus_00033
Bovatus_RS00165	Bovatus_00034
Bovatus_RS00170	Bovatus_00035
Bovatus_RS00175	Bovatus_00036
Bovatus_RS00180	Bovatus_00038
Bovatus_RS00185	Bovatus_00039
Bovatus_RS00190	Bovatus_00040
Bovatus_RS00195	Bovatus_00041
Bovatus_RS00200	Bovatus_00042
Bovatus_RS00205	Bovatus_00043
Bovatus_RS00210	Bovatus_00044
Bovatus_RS00215	Bovatus_00045
Bovatus_RS00220	Bovatus_00046
Bovatus_RS00225	Bovatus_00047
Bovatus_RS00230	Bovatus_00048
Bovatus_RS00235	Bovatus_00049
Bovatus_RS00240	Bovatus_00050
Bovatus_RS00245	Bovatus_00051
Bovatus_RS00250	Bovatus_00052
Bovatus_RS00255	Bovatus_00053
Bovatus_RS00260	Bovatus_00054
Bovatus_RS00265	Bovatus_00055
Bovatus_RS00270	Bovatus_00056
Bovatus_RS00275	Bovatus_00057
Bovatus_RS00280	Bovatus_00058
Bovatus_RS00285	Bovatus_00059
Bovatus_RS00290	Bovatus_00060
Bovatus_RS00295	Bovatus_00061
Bovatus_RS00300	Bovatus_00062
Bovatus_RS00305	Bovatus_00063
Bovatus_RS00310	Bovatus_00064
Bovatus_RS00315	Bovatus_00065
Bovatus_RS00320	Bovatus_00066
Bovatus_RS00325	Bovatus_00067
Bovatus_RS00330	Bovatus_00068
Bovatus_RS00335	Bovatus_00069
Bovatus_RS00340	Bovatus_00070
Bovatus_RS00345	Bovatus_00071
Bovatus_RS00350	Bovatus_00072
Bovatus_RS00355	Bovatus_00073
Bovatus_RS25590	Bovatus_00074
Bovatus_RS00360	Bovatus_00075
Bovatus_RS00365	Bovatus_00076
Bovatus_RS00370	Bovatus_00077
Bovatus_RS00375	Bovatus_00078
Bovatus_RS00380	Bovatus_00079
Bovatus_RS00385	Bovatus_00080
Bovatus_RS00390	Bovatus_00081
Bovatus_RS00395	Bovatus_00082
Bovatus_RS00400	Bovatus_00084
Bovatus_RS00405	Bovatus_00085
Bovatus_RS00410	Bovatus_00086
Bovatus_RS00415	Bovatus_00087
Bovatus_RS00420	Bovatus_00088
Bovatus_RS00425	Bovatus_00089
Bovatus_RS00430	Bovatus_00090
Bovatus_RS00435	Bovatus_00091
Bovatus_RS00440	Bovatus_00092
Bovatus_RS00445	Bovatus_00093
Bovatus_RS00450	Bovatus_00094
Bovatus_RS00455	Bovatus_00095
Bovatus_RS00460	Bovatus_00096
Bovatus_RS00465	Bovatus_00097
Bovatus_RS00470	Bovatus_00098
Bovatus_RS00475	Bovatus_00099
Bovatus_RS00480	Bovatus_00100
Bovatus_RS00485	Bovatus_00101
Bovatus_RS00490	Bovatus_00102
Bovatus_RS00495	Bovatus_00103
Bovatus_RS00500	Bovatus_00104
Bovatus_RS00505	Bovatus_00105
Bovatus_RS00510	Bovatus_00106
Bovatus_RS00515	Bovatus_00107
Bovatus_RS00520	Bovatus_00108
Bovatus_RS00525	Bovatus_00109
Bovatus_RS00530	Bovatus_00110
Bovatus_RS00535	Bovatus_00111
Bovatus_RS00540	Bovatus_00112
Bovatus_RS00545	Bovatus_00113
Bovatus_RS00550	Bovatus_00114
Bovatus_RS00555	Bovatus_00115
Bovatus_RS00560	Bovatus_00116
Bovatus_RS00565	Bovatus_00117
Bovatus_RS00570	Bovatus_00118
Bovatus_RS00575	Bovatus_00119
Bovatus_RS00580	Bovatus_00120
Bovatus_RS00585	Bovatus_00121
Bovatus_RS00590	Bovatus_00122
Bovatus_RS00595	Bovatus_00123
Bovatus_RS00600	Bovatus_00124
Bovatus_RS00605	Bovatus_00125
Bovatus_RS00610	Bovatus_00126
Bovatus_RS25595	Bovatus_00127
Bovatus_RS00620	Bovatus_00128
Bovatus_RS00625	Bovatus_00129
Bovatus_RS00630	Bovatus_00130
Bovatus_RS00635	Bovatus_00131
Bovatus_RS00640	Bovatus_00132
Bovatus_RS00645	Bovatus_00133
Bovatus_RS00650	Bovatus_00134
Bovatus_RS00655	Bovatus_00135
Bovatus_RS00660	Bovatus_00136
Bovatus_RS00665	Bovatus_00137
Bovatus_RS00670	Bovatus_00138
Bovatus_RS00675	Bovatus_00139
Bovatus_RS00680	Bovatus_00140
Bovatus_RS00685	Bovatus_00141
Bovatus_RS00690	Bovatus_00142
Bovatus_RS00695	Bovatus_00143
Bovatus_RS00700	Bovatus_00144
Bovatus_RS00705	Bovatus_00145
Bovatus_RS00710	Bovatus_00146
Bovatus_RS00715	Bovatus_00147
Bovatus_RS00720	Bovatus_00148
Bovatus_RS00725	Bovatus_00149
Bovatus_RS00730	Bovatus_00150
Bovatus_RS00735	Bovatus_00151
Bovatus_RS00740	Bovatus_00152
Bovatus_RS00745	Bovatus_00153
Bovatus_RS00750	Bovatus_00154
Bovatus_RS00755	Bovatus_00155
Bovatus_RS00760	Bovatus_00156
Bovatus_RS00765	Bovatus_00157
Bovatus_RS00770	Bovatus_00158
Bovatus_RS00775	Bovatus_00159
Bovatus_RS00780	Bovatus_00160
Bovatus_RS00785	Bovatus_00161
Bovatus_RS00790	Bovatus_00162
Bovatus_RS00795	Bovatus_00163
Bovatus_RS00800	Bovatus_00164
Bovatus_RS00805	Bovatus_00165
Bovatus_RS00810	Bovatus_00166
Bovatus_RS00815	Bovatus_00167
Bovatus_RS00820	Bovatus_00168
Bovatus_RS00825	Bovatus_00169
Bovatus_RS00830	Bovatus_00170
Bovatus_RS00835	Bovatus_00171;pseudo=true
Bovatus_RS00840	Bovatus_00172
Bovatus_RS00845	Bovatus_00173
Bovatus_RS00850	Bovatus_00174
Bovatus_RS00855	Bovatus_00175
Bovatus_RS00860	Bovatus_00176
Bovatus_RS00865	Bovatus_00177
Bovatus_RS00870	Bovatus_00178
Bovatus_RS25120	Bovatus_00179
Bovatus_RS00875	Bovatus_00180
Bovatus_RS00880	Bovatus_00181
Bovatus_RS00885	Bovatus_00182
Bovatus_RS00890	Bovatus_00183
Bovatus_RS00895	Bovatus_00184
Bovatus_RS00900	Bovatus_00185
Bovatus_RS00905	Bovatus_00186
Bovatus_RS00910	Bovatus_00187
Bovatus_RS00920	Bovatus_00189
