"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS06525",-0.544452729124629,8.28162378640067,31.2931670299398,6.54936938756222e-07,0.00181875987892603,"LK433_RS06525","LK433_RS06525"
"LK433_RS08645",-0.501141352398027,10.0342522705169,29.046176785187,1.45380388187322e-06,0.00201860668998097,"LK433_RS08645","LK433_RS08645"
"LK433_RS04020",0.726962143523986,6.78376334392903,21.2724683216126,2.29329767357278e-05,0.015921219098779,"LK433_RS04020","LK433_RS04020"
"LK433_RS06275",-0.427660201806234,9.1582209326264,21.4697092197917,2.12806880663863e-05,0.015921219098779,"LK433_RS06275","LK433_RS06275"
"LK433_RS09920",-0.33925531629601,10.4093598088994,18.6135395372291,6.42134119269618e-05,0.0356641289842346,"LK433_RS09920","LK433_RS09920"
"LK433_RS06530",-0.387009395313925,8.59027018329596,15.3492815106921,0.000241296728739975,0.111680169285152,"LK433_RS06530","LK433_RS06530"
"LK433_RS10550",1.57168839066407,3.59574315025742,12.1106045106529,0.000967292156780556,0.383738617054229,"LK433_RS10550","LK433_RS10550"
"LK433_RS01550",0.302075940856146,8.79192413057551,11.0498960604,0.00155296001351047,0.392051814319869,"LK433_RS01550","LK433_RS01550"
"LK433_RS09780",-0.296718147607746,9.26341936082106,11.3181563768103,0.00137641671694054,0.392051814319869,"LK433_RS09780","LK433_RS09780"
"LK433_RS10620",0.42300612763105,7.40087780724807,11.1690254037752,0.0014718061327841,0.392051814319869,"LK433_RS10620","LK433_RS10620"
"LK433_RS11165",-0.303978647061179,10.2838614830372,11.5324304216016,0.00126038654230431,0.392051814319869,"LK433_RS11165","LK433_RS11165"
"LK433_RS11120",-1.51334882704989,3.22117310108408,10.8200680748438,0.00172302275138423,0.398736181716168,"LK433_RS11120","LK433_RS11120"
"LK433_RS00365",-0.353208287233089,8.36371060259098,10.013794623358,0.00249083971563676,0.432316368145205,"LK433_RS00365","LK433_RS00365"
"LK433_RS08115",-1.15921170677574,3.86497483158297,10.1049936020872,0.00238837906398183,0.432316368145205,"LK433_RS08115","LK433_RS08115"
"LK433_RS10360",0.329787372450028,8.87864461933824,10.2999311514411,0.00218388638865461,0.432316368145205,"LK433_RS10360","LK433_RS10360"
"LK433_RS11595",-0.831154788533847,5.02754532249012,10.4240007680562,0.00206335107576725,0.432316368145205,"LK433_RS11595","LK433_RS11595"
"LK433_RS08140",0.659139193030375,5.59694808428295,9.79195994241338,0.00275975872494686,0.450814704657496,"LK433_RS08140","LK433_RS08140"
"LK433_RS02750",-0.298570678258048,9.29895282700956,9.39907935189605,0.00331334552502558,0.46237591971902,"LK433_RS02750","LK433_RS02750"
"LK433_RS03240",-0.30663625998151,8.50998400697677,9.44146447141881,0.00324838549049463,0.46237591971902,"LK433_RS03240","LK433_RS03240"
"LK433_RS07225",0.503733484630607,6.57403930620673,9.35095543569083,0.00338875535304784,0.46237591971902,"LK433_RS07225","LK433_RS07225"
"LK433_RS08895",-0.211375017086867,12.1916982793348,9.28408550865371,0.00349654098455147,0.46237591971902,"LK433_RS08895","LK433_RS08895"
"LK433_RS00865",-0.981997479534927,4.35328644489687,8.98710299500535,0.00402054707183521,0.477304040491586,"LK433_RS00865","LK433_RS00865"
"LK433_RS07050",-0.708180902094391,5.46184563624159,8.93274727143165,0.00412506192718692,0.477304040491586,"LK433_RS07050","LK433_RS07050"
"LK433_RS07525",-0.837354190809429,4.64488786633232,9.028424561675,0.00394295556707241,0.477304040491586,"LK433_RS07525","LK433_RS07525"
"LK433_RS06725",1.32431879513216,3.09164984148222,8.80039311413679,0.00439165895027864,0.487825476196951,"LK433_RS06725","LK433_RS06725"
"LK433_RS04040",0.537804106667985,6.0380162469407,8.50894892026967,0.00504454838146354,0.521073135083002,"LK433_RS04040","LK433_RS04040"
"LK433_RS14040",-0.584179205362879,6.16836570778869,8.49995514199193,0.00506624942284518,0.521073135083002,"LK433_RS14040","LK433_RS14040"
"LK433_RS13445",-0.671757776741127,5.4334264896027,8.31817920316782,0.00552654850338889,0.54811518549682,"LK433_RS13445","LK433_RS13445"
"LK433_RS00190",-0.733143601840648,4.90564068803043,8.06116914616786,0.00625379578075331,0.598854858039722,"LK433_RS00190","LK433_RS00190"
"LK433_RS01320",-0.604612703307831,7.17910850944126,7.92163516922756,0.00796376018617152,0.614167413390374,"LK433_RS01320","LK433_RS01320"
"LK433_RS01850",-0.695282775609438,4.66070479150982,6.97704977973711,0.0106317975964786,0.614167413390374,"LK433_RS01850","LK433_RS01850"
"LK433_RS02265",-0.446559424463445,6.08954637261204,6.8504001512553,0.0113234355430311,0.614167413390374,"LK433_RS02265","LK433_RS02265"
"LK433_RS02345",-0.36194631030683,7.66436765831377,6.74904614492864,0.0119111746616981,0.614167413390374,"LK433_RS02345","LK433_RS02345"
"LK433_RS02350",-0.407589727834024,7.16920598608874,6.82677189976889,0.0114576547669193,0.614167413390374,"LK433_RS02350","LK433_RS02350"
"LK433_RS02375",-0.202572385168436,9.70747221602625,6.92501009348122,0.0109104223491605,0.614167413390374,"LK433_RS02375","LK433_RS02375"
"LK433_RS02625",-0.40545350231186,6.84901482003668,6.62742876547439,0.0126593185479499,0.614167413390374,"LK433_RS02625","LK433_RS02625"
"LK433_RS03095",-0.645818451296472,5.27102236795026,6.5577868275999,0.0131099923551458,0.614167413390374,"LK433_RS03095","LK433_RS03095"
"LK433_RS03780",-0.42675655599049,6.62129473826093,7.36140660827784,0.00879289183533749,0.614167413390374,"LK433_RS03780","LK433_RS03780"
"LK433_RS03845",0.846637266130026,4.20232273878428,6.49519836509246,0.0135295315860639,0.614167413390374,"LK433_RS03845","LK433_RS03845"
"LK433_RS04630",1.76321356052441,1.96590928017912,7.10063750591368,0.00999980022222947,0.614167413390374,"LK433_RS04630","LK433_RS04630"
"LK433_RS05075",0.158748889408167,11.8593057396865,6.56149993708132,0.013085539886038,0.614167413390374,"LK433_RS05075","LK433_RS05075"
"LK433_RS05435",0.698342841515486,5.11514984664893,6.43688663725432,0.0139332182368,0.614167413390374,"LK433_RS05435","LK433_RS05435"
"LK433_RS05840",-0.341692107561443,6.9721085365771,6.76233899142524,0.0118322860057628,0.614167413390374,"LK433_RS05840","LK433_RS05840"
"LK433_RS05960",-0.40808406855671,6.65079095249737,7.31263856015432,0.00900633401795759,0.614167413390374,"LK433_RS05960","LK433_RS05960"
"LK433_RS06215",-0.611104060269564,4.98362603329338,6.52298993321087,0.0133415115475518,0.614167413390374,"LK433_RS06215","LK433_RS06215"
"LK433_RS06230",1.18017759114338,3.22589569625719,6.4370942811919,0.0139317582990869,0.614167413390374,"LK433_RS06230","LK433_RS06230"
"LK433_RS06805",-0.716088633802857,4.88666337631247,7.42086624120447,0.00853985336396438,0.614167413390374,"LK433_RS06805","LK433_RS06805"
"LK433_RS07790",-0.817718722549511,4.43924278991937,6.71295673255203,0.0121281732492211,0.614167413390374,"LK433_RS07790","LK433_RS07790"
"LK433_RS08610",0.739018299735119,4.98989489120444,6.48216023703706,0.0136187049061767,0.614167413390374,"LK433_RS08610","LK433_RS08610"
"LK433_RS08775",0.197175922795988,10.1833268667422,7.35081281364913,0.00883879936588795,0.614167413390374,"LK433_RS08775","LK433_RS08775"
"LK433_RS08830",0.47059457261225,6.61132651606146,7.74065165792976,0.00730452529582297,0.614167413390374,"LK433_RS08830","LK433_RS08830"
"LK433_RS10475",-0.261506387172589,8.58697226486033,7.08912318171937,0.0100569689706064,0.614167413390374,"LK433_RS10475","LK433_RS10475"
"LK433_RS10895",-0.346565631041078,7.74503429960865,7.69011644645096,0.0074864769419281,0.614167413390374,"LK433_RS10895","LK433_RS10895"
"LK433_RS11220",-0.794839725172706,4.87180577120213,7.58516513948494,0.00787978588418636,0.614167413390374,"LK433_RS11220","LK433_RS11220"
"LK433_RS12320",-0.240246031047369,9.21211667493381,7.15543032160162,0.00973241804789005,0.614167413390374,"LK433_RS12320","LK433_RS12320"
