"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS10200",2.08676358061413,8.74154695467778,377.636987305446,7.57531857928971e-27,1.05183298473438e-23,"LK433_RS10200","LK433_RS10200"
"LK433_RS12875",2.43568718014818,8.22378449957201,385.814549693595,4.44345288453619e-27,1.05183298473438e-23,"LK433_RS12875","LK433_RS12875"
"LK433_RS02520",1.95031468427423,7.5538802101755,210.934282181996,7.89468945023775e-21,5.48088815082756e-18,"LK433_RS02520","LK433_RS02520"
"LK433_RS07140",2.58443700444982,7.04799832384521,213.625007923416,5.92801566992009e-21,5.48088815082756e-18,"LK433_RS07140","LK433_RS07140"
"LK433_RS06275",1.26857683131317,9.1582209326264,195.166534450643,4.49491387327312e-20,2.49647516521589e-17,"LK433_RS06275","LK433_RS06275"
"LK433_RS01380",-0.932346836406556,11.5782282062481,157.579204480431,5.98928480279027e-18,2.7720406495581e-15,"LK433_RS01380","LK433_RS01380"
"LK433_RS02525",1.93512899570468,6.92311196877608,149.579111344937,1.37482918436929e-17,5.45414377856216e-15,"LK433_RS02525","LK433_RS02525"
"LK433_RS01385",-0.895950458867524,10.6153269575352,120.681887481219,1.16078933596839e-15,4.02938998248027e-13,"LK433_RS01385","LK433_RS01385"
"LK433_RS12870",2.17080268172227,6.88524012055974,123.492325173224,1.69171657285471e-15,5.21988546979726e-13,"LK433_RS12870","LK433_RS12870"
"LK433_RS08645",0.969000119638879,10.0342522705169,115.554902825933,3.03367467671169e-15,8.42451457722837e-13,"LK433_RS08645","LK433_RS08645"
"LK433_RS09935",1.27665366782066,7.79935266321925,110.109690560964,6.10500657778661e-15,1.41280027220945e-12,"LK433_RS09935","LK433_RS09935"
"LK433_RS12220",-0.99873789009134,8.3865654519612,110.196551064062,6.01437586089587e-15,1.41280027220945e-12,"LK433_RS12220","LK433_RS12220"
"LK433_RS12210",-0.972372414301176,9.49305717885652,106.752544245078,1.12052177592421e-14,2.39360690133964e-12,"LK433_RS12210","LK433_RS12210"
"LK433_RS01390",-0.847829473958575,9.57617891003961,102.983926496715,2.14066653999078e-14,4.24616498682457e-12,"LK433_RS01390","LK433_RS01390"
"LK433_RS11425",2.95773010232684,9.41398207782131,226.463912232989,2.54682395306725e-14,4.71502007844516e-12,"LK433_RS11425","LK433_RS11425"
"LK433_RS02515",1.98037924637328,7.4895180204127,121.872020737122,2.78030170436985e-14,4.82556114564693e-12,"LK433_RS02515","LK433_RS02515"
"LK433_RS02510",1.76567446664266,7.47406044328881,108.628906478941,3.97668828416102e-14,6.49603727359715e-12,"LK433_RS02510","LK433_RS02510"
"LK433_RS09775",0.776059987312782,9.84449348758453,99.0513015887183,4.38410376385716e-14,6.76369786235074e-12,"LK433_RS09775","LK433_RS09775"
"LK433_RS03570",-0.691139028309076,10.2535521215808,96.3648522343431,7.23044664445645e-14,1.05678685956082e-11,"LK433_RS03570","LK433_RS03570"
"LK433_RS09780",0.811961440671613,9.26341936082106,90.395243411081,2.27067474366464e-13,3.15283188157835e-11,"LK433_RS09780","LK433_RS09780"
"LK433_RS03650",0.621033275182399,11.7811454161877,85.2391824817633,6.34099354516661e-13,8.38520908329889e-11,"LK433_RS03650","LK433_RS03650"
"LK433_RS02140",0.778367235011573,9.82754805823754,84.3561189443554,7.58907605754495e-13,9.57948373263742e-11,"LK433_RS02140","LK433_RS02140"
"LK433_RS12865",2.03689881663222,6.40198866877962,86.2538986705733,8.00190874838775e-13,9.66143504098817e-11,"LK433_RS12865","LK433_RS12865"
"LK433_RS07845",-0.494450812475725,12.0728116962799,81.0463856806997,1.50360083181817e-12,1.67019980398362e-10,"LK433_RS07845","LK433_RS07845"
"LK433_RS12635",0.768885942351182,9.63341994440874,81.0978398603815,1.48751357934484e-12,1.67019980398362e-10,"LK433_RS12635","LK433_RS12635"
"LK433_RS06950",1.38743281522549,7.08142557882197,79.1891443463999,2.22306979656858e-12,2.37440954810421e-10,"LK433_RS06950","LK433_RS06950"
