"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS06350",1.43996560668392,8.50755971141321,184.951876155672,1.47188638810171e-19,4.08742849975845e-16,"LK433_RS06350","LK433_RS06350"
"LK433_RS02945",1.31718524363497,9.58358925888069,166.130635855427,1.14127702606854e-17,1.58466315069616e-14,"LK433_RS02945","LK433_RS02945"
"LK433_RS12875",1.42372696832935,8.22378449957201,143.144330631251,3.4121339510716e-17,3.15849866070861e-14,"LK433_RS12875","LK433_RS12875"
"LK433_RS07140",2.01488803341869,7.04799832384521,137.537234031545,7.71979405859852e-17,5.35946702518202e-14,"LK433_RS07140","LK433_RS07140"
"LK433_RS00660",1.34324881959183,7.71978260096469,134.844094652255,1.15238147664068e-16,6.40032672126235e-14,"LK433_RS00660","LK433_RS00660"
"LK433_RS06290",-0.665036898644875,10.6276976150343,118.454037123994,1.50236581282735e-15,6.95344977036925e-13,"LK433_RS06290","LK433_RS06290"
"LK433_RS00755",1.18843256927133,7.80642595286913,116.912329654367,1.93660732707683e-15,7.68279792470338e-13,"LK433_RS00755","LK433_RS00755"
"LK433_RS13645",-0.826302614982738,9.57188945577828,111.148100278053,5.10804793854405e-15,1.7731311406671e-12,"LK433_RS13645","LK433_RS13645"
"LK433_RS07060",-1.45198855419251,9.31678494667418,134.138097522561,8.14312859352288e-14,2.51260756713478e-11,"LK433_RS07060","LK433_RS07060"
"LK433_RS06345",1.08509646241701,8.15291033594233,94.2696955886688,1.0747855035421e-13,2.98467934333641e-11,"LK433_RS06345","LK433_RS06345"
"LK433_RS04545",0.809447380919295,10.8437130032185,93.9576553186331,1.84418973322353e-13,4.65574080832887e-11,"LK433_RS04545","LK433_RS04545"
"LK433_RS02510",1.59203514958062,7.47406044328881,89.4532794004921,1.02490283219878e-12,2.37179597084667e-10,"LK433_RS02510","LK433_RS02510"
"LK433_RS06285",-0.549659114136041,11.7377627836898,81.2152752395595,1.45146111173568e-12,3.10054423637692e-10,"LK433_RS06285","LK433_RS06285"
"LK433_RS02520",1.17011442691243,7.5538802101755,80.7277671334953,1.60731153956017e-12,3.18821724668471e-10,"LK433_RS02520","LK433_RS02520"
"LK433_RS00765",1.20860387139056,7.23547920202657,75.9830736662336,4.42321144934616e-12,7.67703637177142e-10,"LK433_RS00765","LK433_RS00765"
"LK433_RS10200",0.899036089201725,8.74154695467778,76.0807480024839,4.33039074109456e-12,7.67703637177142e-10,"LK433_RS10200","LK433_RS10200"
"acpP",0.524735715633559,11.3184549948736,71.7216823032997,1.13358502037788e-11,1.85174447152317e-09,"LK433_RS02385","LK433_RS02385"
"LK433_RS08895",0.542990371362151,12.1916982793348,65.9813043458917,4.24077154125721e-11,6.54256809448404e-09,"LK433_RS08895","LK433_RS08895"
"LK433_RS00760",1.12094436347094,6.90524141596465,64.1703701468427,6.51486118727657e-11,9.52198395635107e-09,"LK433_RS00760","LK433_RS00760"
"LK433_RS10770",1.04350038310654,11.2912632046444,91.6649353657037,1.00780323981276e-10,1.39933479848002e-08,"LK433_RS10770","LK433_RS10770"
"LK433_RS06935",-0.682650824524265,9.41090103145766,59.3949209734587,2.08765691701864e-10,2.76067774217179e-08,"LK433_RS06935","LK433_RS06935"
"LK433_RS11425",1.85399740460182,9.41398207782131,98.3122842319918,2.62451676459962e-10,3.31285593422416e-08,"LK433_RS11425","LK433_RS11425"
"LK433_RS07850",0.595899833425972,10.0183990573694,54.521322891139,7.21626482717938e-10,8.71285540220745e-08,"LK433_RS07850","LK433_RS07850"
