"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS01380",-1.22829513596096,11.5782282062481,240.466621981471,5.70198961507377e-22,8.67963810761556e-19,"LK433_RS01380","LK433_RS01380"
"LK433_RS01390",-1.39309800195859,9.57617891003961,235.717762347649,6.25108974261113e-22,8.67963810761556e-19,"LK433_RS01390","LK433_RS01390"
"LK433_RS07845",-0.866356452183879,12.0728116962799,221.171247648977,2.69448945647536e-21,2.49419907354403e-18,"LK433_RS07845","LK433_RS07845"
"LK433_RS01385",-1.27148870187652,10.6153269575352,211.191176589271,9.13327252443234e-21,6.34077445008715e-18,"LK433_RS01385","LK433_RS01385"
"LK433_RS06290",-0.916573006326127,10.6276976150343,201.129611684258,2.29934882022704e-20,1.2770583347541e-17,"LK433_RS06290","LK433_RS06290"
"LK433_RS10200",1.41691919037014,8.74154695467778,168.342655557687,1.13283741553466e-18,5.24314917156624e-16,"LK433_RS10200","LK433_RS10200"
"LK433_RS06285",-0.822287738595585,11.7377627836898,163.363646502911,2.15132881759801e-18,8.53462875209954e-16,"LK433_RS06285","LK433_RS06285"
"LK433_RS12875",1.61030198855265,8.22378449957201,160.194226494699,3.26087604906038e-18,1.13193159853008e-15,"LK433_RS12875","LK433_RS12875"
"LK433_RS05370",-1.11960355907457,10.8580714226928,160.581424967391,6.97245585537855e-18,1.93625099103862e-15,"LK433_RS05370","LK433_RS05370"
"LK433_RS10000",0.97457161790758,10.2495910658256,154.682381185558,6.8214554513704e-18,1.93625099103862e-15,"LK433_RS10000","LK433_RS10000"
"LK433_RS12635",0.96170120394902,9.63341994440874,114.29443841717,2.99614123450501e-15,7.56389473474583e-13,"LK433_RS12635","LK433_RS12635"
"LK433_RS05375",-1.15127584003641,8.83059535533722,111.444225556969,4.85581837079747e-15,1.12371730130871e-12,"LK433_RS05375","LK433_RS05375"
