"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:pcoi01503",5,"Up",9.87919073455761e-09,1.01755664565943e-06,0.00667502356864563,0.0180928270413289,"Cationic antimicrobial peptide (CAMP) resistance - Prevotella copri"
"path:pcoi00620",18,"Up",2.39481195191759e-06,0.000123332815523756,4.7859742202144e-07,2.05398060284201e-06,"Pyruvate metabolism - Prevotella copri"
"path:pcoi02010",18,"Up",4.18606207877851e-06,0.000143721464704729,1.36883322967052e-13,9.39932151040426e-13,"ABC transporters - Prevotella copri"
"path:pcoi00480",4,"Up",2.69762109857795e-05,0.000694637432883822,0.18430886836099,0.373236134488347,"Glutathione metabolism - Prevotella copri"
"path:pcoi02020",25,"Up",0.000125798226854795,0.00259144347320877,9.18187109794317e-17,1.05081413676461e-15,"Two-component system - Prevotella copri"
"path:pcoi01501",9,"Up",0.000216614847260984,0.00320845117083513,2.08068028118188e-05,7.65393103434763e-05,"beta-Lactam resistance - Prevotella copri"
"path:pcoi00440",3,"Down",0.000227741719435645,0.00320845117083513,0.956272927804532,1,"Phosphonate and phosphinate metabolism - Prevotella copri"
"path:pcoi00860",3,"Down",0.000249200090938651,0.00320845117083513,0.379202358970981,0.661997338542561,"Porphyrin metabolism - Prevotella copri"
"path:pcoi00340",8,"Down",0.000309150217581397,0.00353805249009821,0.769566473366377,1,"Histidine metabolism - Prevotella copri"
"path:pcoi00740",7,"Up",0.000361554622967466,0.0037240126165649,0.197443614157345,0.391090235734741,"Riboflavin metabolism - Prevotella copri"
"path:pcoi00010",24,"Up",0.000407222615016238,0.00381308448606114,0.000261478112243558,0.000816128653366258,"Glycolysis / Gluconeogenesis - Prevotella copri"
"path:pcoi00500",27,"Down",0.000461483283277929,0.00396106484813556,4.64971371765541e-20,7.98200854864179e-19,"Starch and sucrose metabolism - Prevotella copri"
"path:pcoi00450",5,"Up",0.000720091169570881,0.00570533772813852,0.352365130601339,0.636729972841016,"Selenocompound metabolism - Prevotella copri"
"path:pcoi00130",6,"Up",0.000863344857120755,0.00635175144881698,0.0676796899427005,0.154911290313292,"Ubiquinone and other terpenoid-quinone biosynthesis - Prevotella copri"
"path:pcoi00020",16,"Up",0.00118887138000443,0.00816358347603039,4.98543398274566e-06,1.90185074156594e-05,"Citrate cycle (TCA cycle) - Prevotella copri"
"path:pcoi00220",11,"Up",0.00177119014059614,0.0114020365300877,0.000138279084767731,0.000445085804096135,"Arginine biosynthesis - Prevotella copri"
"path:pcoi03070",11,"Up",0.00521860837443129,0.0316186272097896,1.78438455556497e-07,8.75198139158057e-07,"Bacterial secretion system - Prevotella copri"
"path:pcoi00998",4,"Down",0.00601623154513597,0.0344262138416114,1,1,"Biosynthesis of various antibiotics - Prevotella copri; Including: Kanosamine biosynthesis, Aurachin biosynthesis, Bacilysin biosynthesis, Puromycin biosynthesis, Dapdiamides biosynthesis, Fosfomycin biosynthesis, Cremeomycin biosynthesis, Pentalenolactone biosynthesis, Terpentecin biosynthesis, Roseoflavin biosynthesis, Cycloserine biosynthesis"
"path:pcoi00280",1,"Up",0.00704226957084496,0.0381765139893174,0.00704226957084496,0.0185988145076162,"Valine, leucine and isoleucine degradation - Prevotella copri"
"path:pcoi02040",6,"Up",0.00761766032575525,0.0392309506776395,0.0743648430786183,0.16296976249144,"Flagellar assembly - Prevotella copri"
"path:pcoi00051",19,"Up",0.00952929487650648,0.0467389224895318,1.96210498262784e-15,1.55459087085129e-14,"Fructose and mannose metabolism - Prevotella copri"
"path:pcoi00362",4,"Up",0.0112369671819291,0.05260943726085,1,1,"Benzoate degradation - Prevotella copri"
"path:pcoi00600",5,"Down",0.0126399428540817,0.0566049614769745,0.242569816070227,0.471409265193083,"Sphingolipid metabolism - Prevotella copri"
"path:pcoi00071",4,"Down",0.0155996222710621,0.066948378913308,1,1,"Fatty acid degradation - Prevotella copri"
"path:pcoi00550",20,"Up",0.0257547787547588,0.106109688469606,3.58299520148324e-07,1.67749320796716e-06,"Peptidoglycan biosynthesis - Prevotella copri"
"path:pcoi00946",6,"Down",0.0350075017450371,0.134979920747769,1,1,"Degradation of flavonoids - Prevotella copri"
"path:pcoi00760",11,"Up",0.0353830860212598,0.134979920747769,0.0288488025782452,0.0724738211112013,"Nicotinate and nicotinamide metabolism - Prevotella copri"
"path:pcoi01200",48,"Up",0.0369915007805591,0.136075877871342,2.32684710482903e-13,1.49790782373369e-12,"Carbon metabolism - Prevotella copri"
"path:pcoi00680",13,"Up",0.0417935205053014,0.148439055587795,0.0398266577788987,0.0953987384006178,"Methane metabolism - Prevotella copri"
"path:pcoi00250",28,"Up",0.0449000741956136,0.152806062931544,7.74469528696407e-15,5.69788296112357e-14,"Alanine, aspartate and glutamate metabolism - Prevotella copri"
"path:pcoi00525",2,"Down",0.0459901742803677,0.152806062931544,1,1,"Acarbose and validamycin biosynthesis - Prevotella copri"
"path:pcoi03030",14,"Down",0.0497454245839981,0.156660417015129,0.0308519840457881,0.0756608180170517,"DNA replication - Prevotella copri"
"path:pcoi00410",2,"Down",0.0501921724417405,0.156660417015129,1,1,"beta-Alanine metabolism - Prevotella copri"
"path:pcoi00460",9,"Down",0.0553030178080793,0.167535612771534,0.702630133120955,1,"Cyanoamino acid metabolism - Prevotella copri"
"path:pcoi00511",7,"Down",0.0694637564515856,0.204421911843238,0.184806241348599,0.373236134488347,"Other glycan degradation - Prevotella copri"
"path:pcoi03010",54,"Up",0.0749942348214385,0.214566838516894,0.337553998732331,0.636729972841016,"Ribosome - Prevotella copri"
"path:pcoi00730",15,"Up",0.077603636024355,0.216031743527258,6.66997542076663e-07,2.74802987335585e-06,"Thiamine metabolism - Prevotella copri"
"path:pcoi01240",79,"Up",0.0868716524037155,0.235467899936387,1.22765307417896e-16,1.26448266640433e-15,"Biosynthesis of cofactors - Prevotella copri"
"path:pcoi02024",19,"Down",0.0932392886770482,0.246247352147076,0.0042317045157909,0.012430507793169,"Quorum sensing - Prevotella copri"
"path:pcoi01110",203,"Up",0.101362721812055,0.261009008666042,7.11508051990942e-30,7.3285329355067e-28,"Biosynthesis of secondary metabolites - Prevotella copri"
"path:pcoi01250",34,"Up",0.12869072007849,0.323296199221571,3.95078148517192e-24,1.35643497657569e-22,"Biosynthesis of nucleotide sugars - Prevotella copri"
"path:pcoi00670",10,"Down",0.133420240562625,0.327197256617867,0.159757627672765,0.335817054087648,"One carbon pool by folate - Prevotella copri"
"path:pcoi03410",7,"Down",0.147174259580126,0.346015006491583,0.847181153313153,1,"Base excision repair - Prevotella copri"
"path:pcoi01230",94,"Up",0.149254578770688,0.346015006491583,2.51313528844179e-16,2.35320849735913e-15,"Biosynthesis of amino acids - Prevotella copri"
"path:pcoi00270",25,"Up",0.151171604777876,0.346015006491583,3.98465188695327e-09,2.05209572178094e-08,"Cysteine and methionine metabolism - Prevotella copri"
"path:pcoi00970",22,"Up",0.15640117213735,0.348363532082025,8.53992154405535e-11,4.88673288354278e-10,"Aminoacyl-tRNA biosynthesis - Prevotella copri"
"path:pcoi00999",7,"Down",0.162362987359762,0.348363532082025,0.925905892332267,1,"Biosynthesis of various plant secondary metabolites - Prevotella copri; Including: Crocin biosynthesis, Cannabidiol biosynthesis, Mugineic acid biosynthesis, Pentagalloylglucose biosynthesis, Benzoxazinoid biosynthesis, Gramine biosynthesis, Coumarin biosynthesis, Furanocoumarin biosynthesis, Hordatine biosynthesis, Podophyllotoxin biosynthesis"
"path:pcoi00360",3,"Down",0.168070563668038,0.348363532082025,1,1,"Phenylalanine metabolism - Prevotella copri"
"path:pcoi00401",3,"Down",0.168070563668038,0.348363532082025,1,1,"Novobiocin biosynthesis - Prevotella copri"
"path:pcoi00790",13,"Down",0.172137089185636,0.348363532082025,0.952956152730428,1,"Folate biosynthesis - Prevotella copri"
"path:pcoi00910",8,"Down",0.172490680933818,0.348363532082025,0.987468198371994,1,"Nitrogen metabolism - Prevotella copri"
"path:pcoi03020",3,"Up",0.209900258039264,0.415763972654697,0.99911674319468,1,"RNA polymerase - Prevotella copri"
"path:pcoi00470",7,"Up",0.216264523351691,0.420287658589136,0.358758625038001,0.637105834119208,"D-Amino acid metabolism - Prevotella copri"
"path:pcoi01120",87,"Up",0.247031701011714,0.459853679341391,1.86163246355083e-15,1.55459087085129e-14,"Microbial metabolism in diverse environments - Prevotella copri"
"path:pcoi01100",430,"Up",0.249576769028709,0.459853679341391,2.94330503235544e-25,1.51580209166305e-23,"Metabolic pathways - Prevotella copri"
"path:pcoi00630",13,"Down",0.253954947816145,0.459853679341391,0.0139741144997223,0.035983344836785,"Glyoxylate and dicarboxylate metabolism - Prevotella copri"
"path:pcoi00300",15,"Up",0.25448213322776,0.459853679341391,2.87561201051769e-05,0.000102133805890801,"Lysine biosynthesis - Prevotella copri"
