"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:pcoi01503",5,"Up",2.94359772043359e-13,3.0319056520466e-11,0.00105381392824546,0.00190426025630319,"Cationic antimicrobial peptide (CAMP) resistance - Prevotella copri"
"path:pcoi00480",4,"Up",3.20364026627454e-12,1.64987473713139e-10,0.013311878147288,0.0195874778452953,"Glutathione metabolism - Prevotella copri"
"path:pcoi00600",5,"Down",2.51051117018261e-11,8.61942168429364e-10,0.00119998589402828,0.00209489062855785,"Sphingolipid metabolism - Prevotella copri"
"path:pcoi00998",4,"Down",2.40951946349169e-10,6.20451261849111e-09,0.0264536152876318,0.0373249640359737,"Biosynthesis of various antibiotics - Prevotella copri; Including: Kanosamine biosynthesis, Aurachin biosynthesis, Bacilysin biosynthesis, Puromycin biosynthesis, Dapdiamides biosynthesis, Fosfomycin biosynthesis, Cremeomycin biosynthesis, Pentalenolactone biosynthesis, Terpentecin biosynthesis, Roseoflavin biosynthesis, Cycloserine biosynthesis"
"path:pcoi00511",7,"Down",5.16027223236265e-10,1.06301607986671e-08,2.34266172443735e-05,5.02696161702182e-05,"Other glycan degradation - Prevotella copri"
"path:pcoi02040",6,"Up",1.55052487817343e-09,2.54521209325769e-08,0.000654316898699113,0.00122535710120016,"Flagellar assembly - Prevotella copri"
"path:pcoi00500",27,"Down",1.72975579153435e-09,2.54521209325769e-08,4.5356358252303e-28,4.67170489998721e-27,"Starch and sucrose metabolism - Prevotella copri"
"path:pcoi00051",19,"Up",2.76157197842581e-09,3.55552392222322e-08,1.90613157157753e-19,1.03332395722361e-18,"Fructose and mannose metabolism - Prevotella copri"
"path:pcoi00340",8,"Down",4.94159979416035e-09,5.65538643109463e-08,0.000221400091680241,0.000430268102699336,"Histidine metabolism - Prevotella copri"
"path:pcoi00620",18,"Up",6.22531127780071e-09,6.41207061613474e-08,1.32180466711089e-13,4.8623528825865e-13,"Pyruvate metabolism - Prevotella copri"
"path:pcoi00010",24,"Up",2.24584987920783e-08,2.10293215962188e-07,5.47834569418928e-22,3.52668504063435e-21,"Glycolysis / Gluconeogenesis - Prevotella copri"
"path:pcoi00071",4,"Down",4.20920264174985e-08,3.61289893416863e-07,0.0727758298131408,0.0986304009309671,"Fatty acid degradation - Prevotella copri"
"path:pcoi01501",9,"Up",5.35215810790785e-08,4.24055603934238e-07,9.43506001293795e-07,2.26002600309909e-06,"beta-Lactam resistance - Prevotella copri"
"path:pcoi00946",6,"Down",6.04663244984131e-08,4.44859387381182e-07,0.00729627016714382,0.0112166541375495,"Degradation of flavonoids - Prevotella copri"
"path:pcoi00460",9,"Down",8.2066747847742e-08,5.63525001887828e-07,9.84013772727558e-06,2.25229819090974e-05,"Cyanoamino acid metabolism - Prevotella copri"
"path:pcoi02020",25,"Up",8.80740068804286e-08,5.66976419292759e-07,1.08476431797614e-19,6.2072624861968e-19,"Two-component system - Prevotella copri"
"path:pcoi03010",54,"Down",1.21244927646401e-07,7.34601620445843e-07,5.55515710888456e-08,1.467131236449e-07,"Ribosome - Prevotella copri"
"path:pcoi01210",22,"Down",2.1749299971164e-07,1.24454327612772e-06,1.16227553160851e-24,9.20879844274432e-24,"2-Oxocarboxylic acid metabolism - Prevotella copri"
"path:pcoi00999",7,"Down",3.55063889317642e-07,1.92482003156406e-06,0.00197362537869855,0.00338805690009918,"Biosynthesis of various plant secondary metabolites - Prevotella copri; Including: Crocin biosynthesis, Cannabidiol biosynthesis, Mugineic acid biosynthesis, Pentagalloylglucose biosynthesis, Benzoxazinoid biosynthesis, Gramine biosynthesis, Coumarin biosynthesis, Furanocoumarin biosynthesis, Hordatine biosynthesis, Podophyllotoxin biosynthesis"
"path:pcoi00130",6,"Up",1.37127738877395e-06,7.06207855218587e-06,0.00298050482465817,0.00495148382160954,"Ubiquinone and other terpenoid-quinone biosynthesis - Prevotella copri"
"path:pcoi02010",18,"Up",1.53135834800966e-06,7.51094808785688e-06,4.19181762101253e-18,2.05598673792519e-17,"ABC transporters - Prevotella copri"
"path:pcoi02024",19,"Down",3.04748782345006e-06,1.4267783900698e-05,8.92040202410209e-19,4.59400704241258e-18,"Quorum sensing - Prevotella copri"
"path:pcoi00860",3,"Down",8.39786577147565e-06,3.76078336722605e-05,0.0902759419263298,0.120758727511844,"Porphyrin metabolism - Prevotella copri"
"path:pcoi03030",14,"Down",3.07419402721784e-05,0.000131934160334766,9.72135337204093e-08,2.44219365200053e-07,"DNA replication - Prevotella copri"
"path:pcoi00061",9,"Down",3.85761242416546e-05,0.000152820799880401,0.000138970101332092,0.00027526770071549,"Fatty acid biosynthesis - Prevotella copri"
"path:pcoi01212",9,"Down",3.85761242416546e-05,0.000152820799880401,0.000138970101332092,0.00027526770071549,"Fatty acid metabolism - Prevotella copri"
"path:pcoi00440",3,"Down",4.26218949475024e-05,0.000162594636281213,0.701805554234439,0.76899970304412,"Phosphonate and phosphinate metabolism - Prevotella copri"
"path:pcoi01232",32,"Up",4.99822291088429e-05,0.000183863199936101,2.71828279111126e-30,3.99975896406371e-29,"Nucleotide metabolism - Prevotella copri"
"path:pcoi00240",30,"Up",6.11915835752288e-05,0.000210758020344037,1.54655161067566e-24,1.11157891753625e-23,"Pyrimidine metabolism - Prevotella copri"
"path:pcoi03420",9,"Down",6.13858311681661e-05,0.000210758020344037,5.50935952557885e-05,0.000113492806226924,"Nucleotide excision repair - Prevotella copri"
"path:pcoi00410",2,"Down",6.64958505384186e-05,0.000220937825982488,0.67886473857781,0.751860947027037,"beta-Alanine metabolism - Prevotella copri"
"path:pcoi00740",7,"Up",7.80516483262455e-05,0.000251228743050103,0.00414393098718944,0.00666913893250801,"Riboflavin metabolism - Prevotella copri"
"path:pcoi00020",16,"Up",0.000300013867109767,0.000922503463236027,1.39532351404136e-12,4.79061073154201e-12,"Citrate cycle (TCA cycle) - Prevotella copri"
"path:pcoi03020",3,"Down",0.000304515706310922,0.000922503463236027,0.52248620396832,0.620719597527291,"RNA polymerase - Prevotella copri"
"path:pcoi00040",16,"Down",0.000331367876356517,0.000975168321849178,7.82264848150867e-14,2.98419553183479e-13,"Pentose and glucuronate interconversions - Prevotella copri"
"path:pcoi00450",5,"Up",0.000476088166865127,0.00136214114408634,0.00616498961358377,0.00962112015453226,"Selenocompound metabolism - Prevotella copri"
"path:pcoi00261",5,"Down",0.000520338064825847,0.00144850866694763,0.0130587806071384,0.0194935420657284,"Monobactam biosynthesis - Prevotella copri"
