"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:pcoi00440",3,"Down",1.61048272043025e-09,1.65879720204316e-07,0.146027315671965,0.197905440976479,"Phosphonate and phosphinate metabolism - Prevotella copri"
"path:pcoi00340",8,"Down",9.9065900187839e-09,5.10189385967371e-07,0.000215781125095205,0.000453580732342982,"Histidine metabolism - Prevotella copri"
"path:pcoi00480",4,"Up",2.00950223919096e-08,6.89929102122231e-07,0.0448692738881311,0.0679637530952574,"Glutathione metabolism - Prevotella copri"
"path:pcoi01503",5,"Up",4.57623599185106e-08,1.17838076790165e-06,0.00779957293862578,0.0138509657358354,"Cationic antimicrobial peptide (CAMP) resistance - Prevotella copri"
"path:pcoi00600",5,"Down",6.41780716503599e-08,1.32206827599741e-06,0.0048236663398588,0.00920069690750845,"Sphingolipid metabolism - Prevotella copri"
"path:pcoi02040",6,"Up",2.02833793113534e-07,3.48198011511567e-06,0.00132312572624802,0.00262080672699127,"Flagellar assembly - Prevotella copri"
"path:pcoi00500",27,"Down",3.03817544149019e-07,4.47045814962128e-06,3.57969424617143e-31,5.26726439079511e-30,"Starch and sucrose metabolism - Prevotella copri"
"path:pcoi00051",19,"Up",4.21525134422748e-07,5.42713610569288e-06,1.42615025540021e-18,9.18084226913885e-18,"Fructose and mannose metabolism - Prevotella copri"
"path:pcoi00860",3,"Down",7.99568823783179e-07,9.15062098329639e-06,0.166939125734248,0.220445255777276,"Porphyrin metabolism - Prevotella copri"
"path:pcoi00220",11,"Up",1.05587539142402e-06,1.08755165316674e-05,0.000925712610074589,0.0018695764477977,"Arginine biosynthesis - Prevotella copri"
"path:pcoi00010",24,"Up",1.67208254041651e-06,1.56567728784455e-05,1.13565655466923e-12,4.33231944929372e-12,"Glycolysis / Gluconeogenesis - Prevotella copri"
"path:pcoi00660",6,"Down",7.58370601379597e-06,6.50934766184155e-05,0.0694139008059093,0.0993004414306758,"C5-Branched dibasic acid metabolism - Prevotella copri"
"path:pcoi02010",18,"Up",1.48884683431898e-05,0.000117962479949889,2.01423559490922e-15,9.87934601312618e-15,"ABC transporters - Prevotella copri"
"path:pcoi00620",18,"Up",1.83845868587195e-05,0.000135258031889151,3.92790556783445e-15,1.83897397039522e-14,"Pyruvate metabolism - Prevotella copri"
"path:pcoi00290",11,"Down",4.23810480603119e-05,0.000291016530014142,9.11887257259328e-05,0.000208720861106024,"Valine, leucine and isoleucine biosynthesis - Prevotella copri"
"path:pcoi00511",7,"Down",8.30173303138723e-05,0.000534424063895553,0.000200738679023736,0.000430751748738433,"Other glycan degradation - Prevotella copri"
"path:pcoi00998",4,"Down",0.000212823371673245,0.0012894592519026,0.0552733151882062,0.0813307352055035,"Biosynthesis of various antibiotics - Prevotella copri; Including: Kanosamine biosynthesis, Aurachin biosynthesis, Bacilysin biosynthesis, Puromycin biosynthesis, Dapdiamides biosynthesis, Fosfomycin biosynthesis, Cremeomycin biosynthesis, Pentalenolactone biosynthesis, Terpentecin biosynthesis, Roseoflavin biosynthesis, Cycloserine biosynthesis"
"path:pcoi03420",9,"Down",0.000230004864702527,0.00131613894802002,0.0365520806243252,0.0570433985500832,"Nucleotide excision repair - Prevotella copri"
"path:pcoi00680",13,"Up",0.00034555293765597,0.00187326066202973,1.88042206150349e-06,5.23468844148269e-06,"Methane metabolism - Prevotella copri"
"path:pcoi03410",7,"Down",0.000449567757750893,0.0023152739524171,0.542432881267292,0.642190652534841,"Base excision repair - Prevotella copri"
"path:pcoi00760",11,"Up",0.000489146554489492,0.00239914738630561,5.48420014883111e-08,1.7117351979685e-07,"Nicotinate and nicotinamide metabolism - Prevotella copri"
"path:pcoi04122",2,"Up",0.000587582225098621,0.00269077580446609,0.816683450203133,0.905744028538231,"Sulfur relay system - Prevotella copri"
"path:pcoi00071",4,"Down",0.000600852849540971,0.00269077580446609,0.843421959664267,0.91444696679389,"Fatty acid degradation - Prevotella copri"
