"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS01380",-5.62730835756471,11.6206454338308,768.145553963277,1.20176549846393e-11,1.0126877267056e-08,"LK433_RS01380","LK433_RS01380"
"LK433_RS01385",-5.52342252095087,10.6828233874818,775.832746503425,1.13763279337106e-11,1.0126877267056e-08,"LK433_RS01385","LK433_RS01385"
"LK433_RS01390",-5.16823406908343,9.71094181820788,849.505640415498,6.90045259355519e-12,1.0126877267056e-08,"LK433_RS01390","LK433_RS01390"
"LK433_RS02525",4.42687748605838,9.17812824482326,650.463667108831,2.99975431731907e-11,1.51667578283652e-08,"LK433_RS02525","LK433_RS02525"
"LK433_RS12865",3.94683100090718,8.18980097472794,669.381791218958,2.56251073444716e-11,1.51667578283652e-08,"LK433_RS12865","LK433_RS12865"
"LK433_RS05370",-4.15375345803477,9.92544952170088,596.823452306902,4.81164928015345e-11,1.52048117252849e-08,"LK433_RS05370","LK433_RS05370"
"LK433_RS07140",5.02161490188387,9.54189464177309,603.93054194949,4.50905357193393e-11,1.52048117252849e-08,"LK433_RS07140","LK433_RS07140"
"LK433_RS10200",4.57003610107129,10.5960124506975,627.779269225452,3.64550561351652e-11,1.52048117252849e-08,"LK433_RS10200","LK433_RS10200"
"LK433_RS12875",4.63252266510863,10.5081185774402,527.381586347444,9.47768252521877e-11,2.66217571375034e-08,"LK433_RS12875","LK433_RS12875"
"LK433_RS11425",5.46417830259124,11.9786435876824,510.954681270951,1.12695715467174e-10,2.84894768701015e-08,"LK433_RS11425","LK433_RS11425"
"LK433_RS00650",-3.66141442171041,8.59119331738644,459.924304977496,2.00276419673843e-10,4.60271626304977e-08,"LK433_RS00650","LK433_RS00650"
"LK433_RS02345",2.78096098056598,7.82977828312694,437.519627888738,2.63001842127431e-10,4.73926682774517e-08,"LK433_RS02345","LK433_RS02345"
"LK433_RS02510",4.18367577004998,9.65407798834625,421.450524884307,3.22501326191037e-10,4.73926682774517e-08,"LK433_RS02510","LK433_RS02510"
"LK433_RS02520",4.17949547124307,9.69269254797306,409.95107904593,3.74941995865915e-10,4.73926682774517e-08,"LK433_RS02520","LK433_RS02520"
"LK433_RS04090",-3.25204247407888,7.38804383593409,413.147373877529,3.59417315862701e-10,4.73926682774517e-08,"LK433_RS04090","LK433_RS04090"
"LK433_RS04100",-3.23809825233664,6.80281846809617,411.997236149542,3.64914715089201e-10,4.73926682774517e-08,"LK433_RS04100","LK433_RS04100"
"LK433_RS05570",2.83939445939836,8.70790917894605,412.20081026074,3.63934493750417e-10,4.73926682774517e-08,"LK433_RS05570","LK433_RS05570"
"LK433_RS06950",2.66582673290057,8.13011595408193,430.322856497525,2.87890701233682e-10,4.73926682774517e-08,"LK433_RS06950","LK433_RS06950"
"LK433_RS10205",3.84809393610995,6.75110897071051,421.883698604265,3.20701441072156e-10,4.73926682774517e-08,"LK433_RS10205","LK433_RS10205"
"LK433_RS10760",3.63959336120535,9.91506192329455,447.209338543199,2.33384876767603e-10,4.73926682774517e-08,"LK433_RS10760","LK433_RS10760"
"LK433_RS07305",3.18609239200336,7.05284059791298,393.218669096408,4.70373950311077e-10,5.66240641136382e-08,"LK433_RS07305","LK433_RS07305"
"LK433_RS01305",2.78786254076054,8.20535582125099,386.142538528459,5.19188261907956e-10,5.70655620044918e-08,"LK433_RS01305","LK433_RS01305"
"LK433_RS07840",-2.85169175351937,8.89970851372073,388.802942922727,5.00165336003741e-10,5.70655620044918e-08,"LK433_RS07840","LK433_RS07840"
"LK433_RS00645",-3.07110194922017,7.58676338188545,374.302041465701,6.14922494600552e-10,6.21809626540079e-08,"LK433_RS00645","LK433_RS00645"
"LK433_RS07845",-3.60102386179799,11.4964334095819,375.687848142551,6.02701739206716e-10,6.21809626540079e-08,"LK433_RS07845","LK433_RS07845"
"LK433_RS05415",3.20817575822152,8.73207821332847,357.706115185069,7.86565908791914e-10,7.49159113697749e-08,"LK433_RS05415","LK433_RS05415"
"LK433_RS12870",3.91252601950762,8.26451019263153,356.580425689691,8.00130382509463e-10,7.49159113697749e-08,"LK433_RS12870","LK433_RS12870"
"LK433_RS04110",-2.67282553504355,8.12132209175998,349.619672943219,8.90409657002303e-10,8.03912718893508e-08,"LK433_RS04110","LK433_RS04110"
"LK433_RS00305",-3.5290462874527,12.4974976052844,342.129248415893,1.00130389939986e-09,8.43765419227619e-08,"LK433_RS00305","LK433_RS00305"
"LK433_RS01320",2.91131862586898,7.13882041918333,342.727265397489,9.91873964024195e-10,8.43765419227619e-08,"LK433_RS01320","LK433_RS01320"
"LK433_RS00310",-2.64565845627669,9.01494432444502,334.25286863816,1.13592798449386e-09,9.26330949935642e-08,"LK433_RS00310","LK433_RS00310"
"LK433_RS02350",2.55380347662089,7.13648914531055,332.292880021328,1.17267671220006e-09,9.26414602638051e-08,"LK433_RS02350","LK433_RS02350"
"LK433_RS05375",-3.3385770313866,7.79648894275273,329.033927310517,1.23693232622461e-09,9.47565127483584e-08,"LK433_RS05375","LK433_RS05375"
"LK433_RS00315",-2.68365972522709,9.49161617542112,324.500964883787,1.33334690062756e-09,9.70453187240839e-08,"LK433_RS00315","LK433_RS00315"
"LK433_RS07390",-2.30082092143263,8.41922406769847,322.359027430407,1.38197447550119e-09,9.70453187240839e-08,"LK433_RS07390","LK433_RS07390"
"LK433_RS09935",2.55311363292187,8.82591810975378,322.518277922351,1.37828790494726e-09,9.70453187240839e-08,"LK433_RS09935","LK433_RS09935"
"LK433_RS01195",-2.40179593096851,7.21728010602908,314.071781050965,1.59092144513285e-09,1.0700860177593e-07,"LK433_RS01195","LK433_RS01195"
"LK433_RS06630",2.36745934402161,8.0277068346841,313.433204717573,1.60851537479641e-09,1.0700860177593e-07,"LK433_RS06630","LK433_RS06630"
"LK433_RS02515",3.94066782889261,9.62378618441675,307.742953705426,1.77585928322401e-09,1.15112109435649e-07,"LK433_RS02515","LK433_RS02515"
"LK433_RS00320",-2.71289315104129,9.70448132353423,305.409430969687,1.85036946540984e-09,1.16943350213902e-07,"LK433_RS00320","LK433_RS00320"
"LK433_RS01190",-2.40035158757423,7.34822470178837,293.492418298703,2.29363312008077e-09,1.38582933830322e-07,"LK433_RS01190","LK433_RS01190"
"LK433_RS02355",2.56735559718226,7.44438313712678,290.764796698607,2.41204473438852e-09,1.38582933830322e-07,"LK433_RS02355","LK433_RS02355"
"LK433_RS12210",-2.78140452876258,7.63867055306432,292.838541688458,2.32138254815507e-09,1.38582933830322e-07,"LK433_RS12210","LK433_RS12210"
"LK433_RS13815",-2.24048140304281,7.67404306515271,290.841342504502,2.40862483477575e-09,1.38582933830322e-07,"LK433_RS13815","LK433_RS13815"
"LK433_RS04065",-2.71021797987008,7.46182609758012,284.00461163789,2.7379946585704e-09,1.53057120508437e-07,"LK433_RS04065","LK433_RS04065"
"LK433_RS13040",-3.1546282372019,11.7000439286345,283.107285504491,2.78505836368201e-09,1.53057120508437e-07,"LK433_RS13040","LK433_RS13040"
"LK433_RS06640",2.32947497628525,8.15783638970749,281.6118354959,2.86563025512994e-09,1.54134325212095e-07,"LK433_RS06640","LK433_RS06640"
"LK433_RS00325",-2.607376212141,9.92343667961931,272.901390900775,3.39350942213569e-09,1.76658186668666e-07,"LK433_RS00325","LK433_RS00325"
"LK433_RS06635",2.44335341175834,7.8616699912594,272.445662171373,3.4241499789417e-09,1.76658186668666e-07,"LK433_RS06635","LK433_RS06635"
"LK433_RS03090",2.47312979967098,9.13774341593771,269.614410167929,3.62198672284175e-09,1.80138184061655e-07,"LK433_RS03090","LK433_RS03090"
"LK433_RS08705",-2.22841164164758,7.84278730408986,268.475192443505,3.70537403924291e-09,1.80138184061655e-07,"LK433_RS08705","LK433_RS08705"
"LK433_RS08710",-2.25883876392396,7.82165613320114,268.870005061241,3.67622112113548e-09,1.80138184061655e-07,"LK433_RS08710","LK433_RS08710"
"LK433_RS08655",2.69122615402132,9.80027617445992,264.044207509804,4.05199177086605e-09,1.93272362202818e-07,"LK433_RS08655","LK433_RS08655"
"LK433_RS04440",2.27568572698712,7.51726686368467,259.854528601176,4.41541455138381e-09,2.06706814553672e-07,"LK433_RS04440","LK433_RS04440"
"LK433_RS04085",-2.31483566729793,6.89045588439878,258.217878468522,4.56773436529413e-09,2.09949681372065e-07,"LK433_RS04085","LK433_RS04085"
"LK433_RS02095",-2.30248067972549,9.07768040790416,252.842070845431,5.1135350515994e-09,2.21345537791913e-07,"LK433_RS02095","LK433_RS02095"
"LK433_RS03820",2.04065184677782,7.99300133628197,252.40247489727,5.1614768550978e-09,2.21345537791913e-07,"LK433_RS03820","LK433_RS03820"
"LK433_RS08690",-2.41085298615812,9.47936833956051,252.362190746426,5.16589664941568e-09,2.21345537791913e-07,"LK433_RS08690","LK433_RS08690"
"LK433_RS13810",-2.18983734564417,8.20321781813729,253.71871997254,5.01948734257611e-09,2.21345537791913e-07,"LK433_RS13810","LK433_RS13810"
"LK433_RS08700",-2.48302380810243,8.3577274446996,249.599139521889,5.47998405284416e-09,2.30889994759834e-07,"LK433_RS08700","LK433_RS08700"
"LK433_RS01810",2.15672025040998,8.13912893714099,245.436243316391,5.99679144263441e-09,2.42671921111211e-07,"LK433_RS01810","LK433_RS01810"
"LK433_RS11360",-2.36278999287562,7.24890124469262,245.639060995996,5.97031614720365e-09,2.42671921111211e-07,"LK433_RS11360","LK433_RS11360"
"LK433_RS13025",-2.81808698678222,10.6297950293606,245.049963825852,6.04759929984426e-09,2.42671921111211e-07,"LK433_RS13025","LK433_RS13025"
"LK433_RS13035",-3.02411041941568,10.8458117000683,241.046250512195,6.60526444933691e-09,2.60907945748808e-07,"LK433_RS13035","LK433_RS13035"
"LK433_RS05480",2.7074224885977,11.1730932939906,240.187006992948,6.73272535402989e-09,2.61851226076732e-07,"LK433_RS05480","LK433_RS05480"
"LK433_RS13030",-3.01950674899167,10.5304687501246,237.031498349437,7.22638076647423e-09,2.72661053397714e-07,"LK433_RS13030","LK433_RS13030"
"LK433_RS13825",-1.91266418916876,7.70945200644716,237.276824301766,7.1865046918157e-09,2.72661053397714e-07,"LK433_RS13825","LK433_RS13825"
"LK433_RS11135",-2.19068266960044,7.31850630733643,236.273131474616,7.35130843540565e-09,2.73295701833904e-07,"LK433_RS11135","LK433_RS11135"
