"","CON_1","CON_2","PNA_1","PNA_2"
"LK433_RS00010",156.544115369095,154.499312374297,180.308611174435,132.138370411412
"LK433_RS00015",422.820769702876,397.573609552702,343.090499744823,318.655581638523
"LK433_RS00020",1186.34563226903,1148.84399569803,1212.97946780428,1325.38391963663
"LK433_RS00025",5325.19761363513,5110.08033130734,3614.15351461608,4315.0602067687
"LK433_RS00030",5506.3217234456,5384.10566647426,3348.6870681142,4508.09290925211
"LK433_RS00035",5752.74426023193,5294.2509451295,3629.91731448102,4975.97810198141
"LK433_RS00040",6649.13812573688,6224.45132748825,5227.03245991837,6489.51873284267
"LK433_RS00045",365.212508023771,387.87664131267,340.18141302,393.762904503394
"LK433_RS00050",1887.17808920188,1803.9112092528,2032.73789167284,1949.49006499585
"LK433_RS00055",542.570870249042,583.344111316213,862.316373591564,587.349269688117
"LK433_RS00060",30.5718803779939,31.0937622142851,43.2528677269272,34.0889328695785
"LK433_RS00065",32.2138048912096,30.0046657227609,45.8066408496542,39.6827689786117
"LK433_RS00070",38.4750566134655,39.301252748005,60.1146316560051,64.1817170414066
"LK433_RS00075",15.5718256863949,13.9179320851307,30.2212528384769,21.6617703717174
"LK433_RS00080",14.9145733035276,13.2302576749094,27.0073536606605,22.391614386937
"LK433_RS00085",11.4001816431418,11.87383704766,25.8391771865328,18.5107081186283
"LK433_RS00090",75.0168881656055,79.3857541466812,112.542214316193,91.7929089293421
"LK433_RS00095",104.797063242905,110.476460680793,129.74442921542,109.462033419679
"LK433_RS00100",76.6495792561037,76.0823552115359,77.131994452045,86.484976048215
"LK433_RS00105",45.218925125244,41.6486480088654,47.8978786611331,45.4818991573239
"LK433_RS00110",9.54109582963253,7.54614697013351,21.372672732678,11.3919391131456
"LK433_RS00115",9.24283415993258,7.03750326087903,24.8411596902502,14.9439159938821
"LK433_RS00120",6.99990640378894,5.5841487578988,24.322412068665,14.5398767836772
"LK433_RS00125",9.54248265713182,7.69005442129219,23.8991615130005,14.9646961710687
"LK433_RS00130",14.858291894835,13.4549224278796,22.3031929535306,16.6826735151829
"LK433_RS00135",11.5383072589928,10.1286588060662,33.3335411867262,21.7922333312145
"LK433_RS00140",222.318455936664,200.396402956862,269.532035781329,270.667866215722
"LK433_RS00145",230.756718458238,238.813357054813,326.492613768786,289.526163299772
"LK433_RS00150",119.742717094036,115.764754655457,145.697565800932,152.722292998083
"LK433_RS00155",26.5927816810609,26.6334598945888,29.186894482398,27.739033609559
"LK433_RS00160",33.0821193851908,30.3243313429439,51.0770653441966,37.1137995979747
"LK433_RS00165",8.38646933361295,5.64152840578671,23.6385870648176,10.7344742682359
"LK433_RS00170",12.34358495311,11.6426267539203,36.2751402852661,19.3677895381028
"LK433_RS00175",12.6666684154805,10.3895103562105,30.2057388483134,16.7032271170496
"LK433_RS00180",13.3744814950111,13.0109517732329,37.712957408642,21.9844090249672
"LK433_RS00185",16.1310692266086,11.8567253371511,39.6224321744286,17.2884689221588
"LK433_RS00190",11.1190373731282,12.0713281266421,32.5807194222118,16.7436400961354
"LK433_RS00195",13.591606968654,12.6098010301133,27.2482252359208,17.0177230251112
"LK433_RS00200",11.2934536456479,13.0039416392301,26.4718345305471,18.2319636602363
"LK433_RS00205",12.5743075592372,12.3982691163252,26.2515109095735,13.2332246253419
"LK433_RS00210",9.8436183803282,7.52974230280713,31.5028111098057,12.8782986200901
"LK433_RS00215",37.2461236012418,33.6600047283566,25.8076959612439,16.5340039630388
"LK433_RS00220",35.2273117380985,31.9458071015706,35.2129139895359,24.4459571330202
"LK433_RS00225",94.1871398981043,76.3436631420881,81.4188369464017,77.2863856841871
"LK433_RS00230",89.8297415035415,80.7190311149527,73.027045416,78.2718222958252
"LK433_RS00235",5772.23326990721,5753.87521106311,9811.46166446613,6310.30330305324
"LK433_RS00240",190.747449503249,172.504919737252,472.827690614848,302.979594600408
"LK433_RS00245",901.957876570494,867.338849411509,1194.37205674299,1446.47648646099
"LK433_RS00250",887.394851002721,794.710642108388,1118.68574672833,1421.28908495545
"LK433_RS00255",254.582023102625,243.676082563206,175.23136775299,173.05968377421
"LK433_RS00260",159.607240881036,163.360606640944,91.4696425296581,116.522516405868
"LK433_RS00265",295.054194345755,285.788380020056,145.368834922021,164.955861687852
"LK433_RS00270",992.264219280553,992.594886932718,601.693178138441,474.032490584296
"LK433_RS00275",213.886029004662,223.869026780627,129.17903298691,134.264627957379
"LK433_RS00280",214.736712074567,224.120565012965,179.985849308121,164.556037923373
"LK433_RS00285",130.078706253578,123.659681685821,254.272756980812,279.261347644749
"LK433_RS00290",81.4442235039059,78.6281563763018,162.091503286175,171.836502287787
"LK433_RS00295",985.371439917981,1065.74814132039,425.679630297128,329.641073442826
