# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "tRNA" "-g" "locus_tag" "-a" "../data/reference_sequences/p_copri_wplasmids.gff3" "-o" "../data/rna_align/tRNA_counttable.txt" "../data/rna_align/CON_1.fq.gz.bam" "../data/rna_align/CON_2.fq.gz.bam" "../data/rna_align/PNA_1.fq.gz.bam" "../data/rna_align/PNA_2.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/CON_1.fq.gz.bam	../data/rna_align/CON_2.fq.gz.bam	../data/rna_align/PNA_1.fq.gz.bam	../data/rna_align/PNA_2.fq.gz.bam
LK433_RS00005	NZ_CP085932.1	142	215	-	74	68	110	169	42
LK433_RS00575	NZ_CP085932.1	134807	134879	-	73	224	468	217	89
LK433_RS00585	NZ_CP085932.1	136208	136279	-	72	2524	6743	2639	1573
LK433_RS00590	NZ_CP085932.1	136294	136366	-	73	28	63	59	12
LK433_RS00595	NZ_CP085932.1	136380	136461	-	82	103	187	143	66
LK433_RS00600	NZ_CP085932.1	136477	136550	-	74	305	747	801	258
LK433_RS01070	NZ_CP085932.1	255953	256025	-	73	12	27	59	11
LK433_RS01075	NZ_CP085932.1	256181	256256	+	76	11	12	43	10
LK433_RS01505	NZ_CP085932.1	363316	363400	+	85	15	21	35	10
LK433_RS01585	NZ_CP085932.1	388648	388721	+	74	114	193	271	61
LK433_RS01590	NZ_CP085932.1	388772	388845	+	74	31	45	71	15
LK433_RS01665	NZ_CP085932.1	408274	408347	+	74	13	19	20	4
LK433_RS02555	NZ_CP085932.1	628767	628840	+	74	259	649	489	150
LK433_RS02560	NZ_CP085932.1	628904	628977	+	74	98	152	165	43
LK433_RS02905	NZ_CP085932.1	709712	709782	+	71	67	99	77	53
LK433_RS02935	NZ_CP085932.1	716762	716833	-	72	35	66	41	17
LK433_RS02985	NZ_CP085932.1	732260	732345	-	86	49	143	91	25
LK433_RS02990	NZ_CP085932.1	732366	732438	-	73	67	135	86	30
LK433_RS03730	NZ_CP085932.1	920460	920541	-	82	19	23	62	13
LK433_RS05040	NZ_CP085932.1	1232131	1232204	+	74	1	2	5	2
LK433_RS05045	NZ_CP085932.1	1232268	1232341	+	74	0	2	0	0
LK433_RS05160	NZ_CP085932.1	1259487	1259561	+	75	41	76	96	25
LK433_RS05165	NZ_CP085932.1	1259613	1259687	+	75	27	46	65	16
LK433_RS05755	NZ_CP085932.1	1408131	1408212	-	82	8	19	14	8
LK433_RS06035	NZ_CP085932.1	1468077	1468147	+	71	33	31	82	16
LK433_RS06040	NZ_CP085932.1	1468173	1468243	+	71	12	21	59	14
LK433_RS06450	NZ_CP085932.1	1566921	1566994	-	74	22	63	82	18
LK433_RS07615	NZ_CP085932.1	1848646	1848719	+	74	370	832	702	180
LK433_RS07620	NZ_CP085932.1	1848759	1848832	+	74	55	116	129	28
LK433_RS07865	NZ_CP085932.1	1907619	1907691	+	73	383	764	492	139
LK433_RS07870	NZ_CP085932.1	1907752	1907835	+	84	373	647	495	113
LK433_RS07875	NZ_CP085932.1	1907856	1907928	+	73	108	192	138	24
LK433_RS07880	NZ_CP085932.1	1907970	1908051	+	82	405	722	468	133
LK433_RS07885	NZ_CP085932.1	1908076	1908159	+	84	140	336	195	38
LK433_RS07890	NZ_CP085932.1	1908180	1908252	+	73	78	183	117	23
LK433_RS08320	NZ_CP085932.1	1994044	1994116	+	73	69	118	214	41
LK433_RS08575	NZ_CP085932.1	2044495	2044565	-	71	26	40	33	7
LK433_RS09160	NZ_CP085932.1	2173491	2173565	+	75	31	52	63	15
LK433_RS09420	NZ_CP085932.1	2231095	2231167	+	73	7	14	16	9
LK433_RS09425	NZ_CP085932.1	2231173	2231247	+	75	3	8	3	3
LK433_RS10130	NZ_CP085932.1	2394016	2394104	+	89	60	130	201	67
LK433_RS10160	NZ_CP085932.1	2399884	2399970	+	87	94	175	241	81
LK433_RS10165	NZ_CP085932.1	2399998	2400069	+	72	41	87	137	28
LK433_RS10170	NZ_CP085932.1	2400140	2400211	+	72	35	63	56	16
LK433_RS10390	NZ_CP085932.1	2455234	2455307	-	74	117	198	152	67
LK433_RS10395	NZ_CP085932.1	2455349	2455422	-	74	189	315	276	114
LK433_RS10400	NZ_CP085932.1	2455459	2455532	-	74	210	420	287	111
LK433_RS10440	NZ_CP085932.1	2462403	2462475	+	73	86	211	146	51
LK433_RS10445	NZ_CP085932.1	2462491	2462564	+	74	168	316	353	109
LK433_RS10450	NZ_CP085932.1	2462601	2462677	+	77	67	124	129	23
LK433_RS10455	NZ_CP085932.1	2462688	2462760	+	73	4	19	2	4
LK433_RS10605	NZ_CP085932.1	2500996	2501068	+	73	5	13	29	21
LK433_RS10610	NZ_CP085932.1	2501101	2501171	+	71	8	15	21	6
LK433_RS12090	NZ_CP085932.1	2866000	2866075	+	76	197	411	349	73
LK433_RS12095	NZ_CP085932.1	2866110	2866185	+	76	23	61	47	3
LK433_RS12370	NZ_CP085932.1	2942615	2942687	+	73	18	47	51	18
LK433_RS12390	NZ_CP085932.1	2946251	2946335	+	85	59	101	104	46
LK433_RS12415	NZ_CP085932.1	2951845	2951918	+	74	51	91	122	44
LK433_RS12915	NZ_CP085932.1	3070522	3070609	-	88	14	48	23	14
LK433_RS13540	NZ_CP085932.1	3223376	3223448	+	73	26	55	60	12
LK433_RS13755	NZ_CP085932.1	3281816	3281888	-	73	25	32	44	14
