# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "CDS" "-g" "locus_tag" "-a" "../data/reference_sequences/tot_seqs.gff" "-o" "../data/rna_align/counttable_bb.txt" "-M" "../data/rna_align/1_CON_0_1_NEB_DPLEX.bam" "../data/rna_align/3_CON_2_1_NEB_DPLEX.bam" "../data/rna_align/4_CON_2_2_NEB_DPLEX.bam" "../data/rna_align/5_PNA_0_1_NEB_DPLEX.bam" "../data/rna_align/6_PNA_0_2_NEB_DPLEX.bam" "../data/rna_align/7_PNA_2_1_NEB_DPLEX.bam" "../data/rna_align/8_PNA_2_2_NEB_DPLEX.bam" "../data/rna_align/CON_0_1_RZ_DPLEX.bam" "../data/rna_align/CON_0_2_RZ_DPLEX.bam" "../data/rna_align/CON_2_1_RZ_DPLEX.bam" "../data/rna_align/CON_2_2_RZ_DPLEX.bam" "../data/rna_align/PNA_0_1_RZ_DPLEX.bam" "../data/rna_align/PNA_0_2_RZ_DPLEX.bam" "../data/rna_align/PNA_2_1_RZ_DPLEX.bam" "../data/rna_align/PNA_2_2_RZ_DPLEX.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/1_CON_0_1_NEB_DPLEX.bam	../data/rna_align/3_CON_2_1_NEB_DPLEX.bam	../data/rna_align/4_CON_2_2_NEB_DPLEX.bam	../data/rna_align/5_PNA_0_1_NEB_DPLEX.bam	../data/rna_align/6_PNA_0_2_NEB_DPLEX.bam	../data/rna_align/7_PNA_2_1_NEB_DPLEX.bam	../data/rna_align/8_PNA_2_2_NEB_DPLEX.bam	../data/rna_align/CON_0_1_RZ_DPLEX.bam	../data/rna_align/CON_0_2_RZ_DPLEX.bam	../data/rna_align/CON_2_1_RZ_DPLEX.bam	../data/rna_align/CON_2_2_RZ_DPLEX.bam	../data/rna_align/PNA_0_1_RZ_DPLEX.bam	../data/rna_align/PNA_0_2_RZ_DPLEX.bam	../data/rna_align/PNA_2_1_RZ_DPLEX.bam	../data/rna_align/PNA_2_2_RZ_DPLEX.bam
FE838_RS00195	NZ_CP040530.1	201	1613	+	1413	44904	26382	13154	36993	30849	23157	18058	189	81	155	83	74	102	83	26
FE838_RS00200	NZ_CP040530.1	1699	2436	-	738	58	97	82	34	27	81	51	16	15	8	12	6	7	9	3
FE838_RS00205	NZ_CP040530.1	2721	5258	+	2538	426	743	840	254	240	647	277	76	23	59	43	43	32	60	22
FE838_RS00210	NZ_CP040530.1	5390	8071	+	2682	113	60	56	87	67	86	40	17	18	24	7	9	20	14	6
FE838_RS00215	NZ_CP040530.1	8284	9297	+	1014	40	25	13	26	19	23	9	28	8	9	2	4	5	1	11
FE838_RS00220	NZ_CP040530.1	9392	10363	+	972	43	52	37	26	18	25	14	9	9	14	3	6	3	3	6
FE838_RS00225	NZ_CP040530.1	10507	10875	+	369	17	19	25	31	16	19	12	53	169	136	16	41	30	30	3
FE838_RS00230	NZ_CP040530.1	11205	11729	-	525	21	27	38	18	7	28	17	6	1	3	0	3	4	4	5
FE838_RS00235	NZ_CP040530.1	11734	12762	-	1029	236	158	108	505	337	246	136	9	16	13	7	14	7	9	5
FE838_RS00240	NZ_CP040530.1	12765	13658	-	894	147	102	54	175	128	139	61	19	3	5	4	9	11	5	3
FE838_RS00245	NZ_CP040530.1	13648	14979	-	1332	133	95	113	151	78	102	72	21	9	12	12	2	10	10	3
FE838_RS00250	NZ_CP040530.1	15089	16762	+	1674	162	110	105	119	76	127	48	32	17	25	8	26	19	10	7
FE838_RS00255	NZ_CP040530.1	16922	17143	+	222	158	352	310	67	64	255	89	143	20	55	71	40	18	111	33
FE838_RS00260	NZ_CP040530.1	17212	18126	-	915	71	84	87	33	36	72	31	5	6	6	2	4	3	12	5
FE838_RS00265	NZ_CP040530.1	18266	19138	-	873	126	270	318	70	73	204	94	32	6	12	35	8	7	13	6
FE838_RS00270	NZ_CP040530.1	19191	20666	-	1476	119	154	171	89	38	159	78	23	9	17	16	6	13	17	3
