# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "tRNA" "-g" "locus_tag" "-a" "../data/reference_sequences/tot_seqs.gff" "-o" "../data/rna_align/tRNA_counttable_bb.txt" "../data/rna_align/1_CON_0_1_NEB_DPLEX.bam" "../data/rna_align/3_CON_2_1_NEB_DPLEX.bam" "../data/rna_align/4_CON_2_2_NEB_DPLEX.bam" "../data/rna_align/5_PNA_0_1_NEB_DPLEX.bam" "../data/rna_align/6_PNA_0_2_NEB_DPLEX.bam" "../data/rna_align/7_PNA_2_1_NEB_DPLEX.bam" "../data/rna_align/8_PNA_2_2_NEB_DPLEX.bam" "../data/rna_align/CON_0_1_RZ_DPLEX.bam" "../data/rna_align/CON_0_2_RZ_DPLEX.bam" "../data/rna_align/CON_2_1_RZ_DPLEX.bam" "../data/rna_align/CON_2_2_RZ_DPLEX.bam" "../data/rna_align/PNA_0_1_RZ_DPLEX.bam" "../data/rna_align/PNA_0_2_RZ_DPLEX.bam" "../data/rna_align/PNA_2_1_RZ_DPLEX.bam" "../data/rna_align/PNA_2_2_RZ_DPLEX.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/1_CON_0_1_NEB_DPLEX.bam	../data/rna_align/3_CON_2_1_NEB_DPLEX.bam	../data/rna_align/4_CON_2_2_NEB_DPLEX.bam	../data/rna_align/5_PNA_0_1_NEB_DPLEX.bam	../data/rna_align/6_PNA_0_2_NEB_DPLEX.bam	../data/rna_align/7_PNA_2_1_NEB_DPLEX.bam	../data/rna_align/8_PNA_2_2_NEB_DPLEX.bam	../data/rna_align/CON_0_1_RZ_DPLEX.bam	../data/rna_align/CON_0_2_RZ_DPLEX.bam	../data/rna_align/CON_2_1_RZ_DPLEX.bam	../data/rna_align/CON_2_2_RZ_DPLEX.bam	../data/rna_align/PNA_0_1_RZ_DPLEX.bam	../data/rna_align/PNA_0_2_RZ_DPLEX.bam	../data/rna_align/PNA_2_1_RZ_DPLEX.bam	../data/rna_align/PNA_2_2_RZ_DPLEX.bam
FE838_RS00850	NZ_CP040530.1	160250	160322	+	73	140	87	48	160	106	92	55	59	21	50	12	9	33	24	9
FE838_RS01575	NZ_CP040530.1	323451	323524	+	74	54	94	24	35	22	46	38	188	96	160	26	94	145	42	13
FE838_RS01630	NZ_CP040530.1	337043	337116	-	74	241	625	354	184	137	403	306	360	132	273	57	171	204	65	39
FE838_RS01635	NZ_CP040530.1	337171	337244	-	74	207	376	439	196	125	399	196	454	106	235	82	142	193	82	32
FE838_RS02365	NZ_CP040530.1	517151	517223	+	73	48	131	59	55	63	77	70	479	234	449	73	263	417	173	58
FE838_RS02770	NZ_CP040530.1	619649	619721	+	73	50	156	55	68	44	101	44	143	22	82	15	26	43	34	11
FE838_RS02825	NZ_CP040530.1	631294	631367	-	74	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FE838_RS02830	NZ_CP040530.1	631422	631495	-	74	0	2	3	0	2	0	0	0	1	0	0	0	1	0	0
FE838_RS03190	NZ_CP040530.1	696540	696612	-	73	138	276	338	77	77	246	141	292	113	261	88	200	150	102	35
FE838_RS03200	NZ_CP040530.1	697902	697973	-	72	25	71	56	37	19	74	34	116	44	54	20	54	46	27	10
FE838_RS03205	NZ_CP040530.1	697986	698058	-	73	464	1141	759	315	244	799	546	278	53	313	82	70	80	102	57
FE838_RS03210	NZ_CP040530.1	698087	698169	-	83	569	1616	972	316	244	1214	532	302	22	414	74	44	23	98	54
FE838_RS03215	NZ_CP040530.1	698325	698401	-	77	184	313	178	362	237	326	147	286	72	162	40	95	81	77	27
FE838_RS03425	NZ_CP040530.1	751387	751473	-	87	56	180	69	26	29	91	53	146	23	87	17	46	22	34	13
FE838_RS03525	NZ_CP040530.1	777438	777511	+	74	207	590	397	191	119	426	268	509	92	330	106	166	176	188	89
FE838_RS03530	NZ_CP040530.1	777539	777612	+	74	0	2	6	2	4	2	1	2	0	0	0	0	0	2	0
FE838_RS03715	NZ_CP040530.1	840320	840391	-	72	112	402	199	67	54	234	111	77	31	102	17	25	18	28	18
