# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "rRNA" "-g" "locus_tag" "-a" "../data/reference_sequences/tot_seqs.gff" "-o" "../data/rna_align/rRNA_counttable_bb.txt" "../data/rna_align/1_CON_0_1_NEB_DPLEX.bam" "../data/rna_align/3_CON_2_1_NEB_DPLEX.bam" "../data/rna_align/4_CON_2_2_NEB_DPLEX.bam" "../data/rna_align/5_PNA_0_1_NEB_DPLEX.bam" "../data/rna_align/6_PNA_0_2_NEB_DPLEX.bam" "../data/rna_align/7_PNA_2_1_NEB_DPLEX.bam" "../data/rna_align/8_PNA_2_2_NEB_DPLEX.bam" "../data/rna_align/CON_0_1_RZ_DPLEX.bam" "../data/rna_align/CON_0_2_RZ_DPLEX.bam" "../data/rna_align/CON_2_1_RZ_DPLEX.bam" "../data/rna_align/CON_2_2_RZ_DPLEX.bam" "../data/rna_align/PNA_0_1_RZ_DPLEX.bam" "../data/rna_align/PNA_0_2_RZ_DPLEX.bam" "../data/rna_align/PNA_2_1_RZ_DPLEX.bam" "../data/rna_align/PNA_2_2_RZ_DPLEX.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/1_CON_0_1_NEB_DPLEX.bam	../data/rna_align/3_CON_2_1_NEB_DPLEX.bam	../data/rna_align/4_CON_2_2_NEB_DPLEX.bam	../data/rna_align/5_PNA_0_1_NEB_DPLEX.bam	../data/rna_align/6_PNA_0_2_NEB_DPLEX.bam	../data/rna_align/7_PNA_2_1_NEB_DPLEX.bam	../data/rna_align/8_PNA_2_2_NEB_DPLEX.bam	../data/rna_align/CON_0_1_RZ_DPLEX.bam	../data/rna_align/CON_0_2_RZ_DPLEX.bam	../data/rna_align/CON_2_1_RZ_DPLEX.bam	../data/rna_align/CON_2_2_RZ_DPLEX.bam	../data/rna_align/PNA_0_1_RZ_DPLEX.bam	../data/rna_align/PNA_0_2_RZ_DPLEX.bam	../data/rna_align/PNA_2_1_RZ_DPLEX.bam	../data/rna_align/PNA_2_2_RZ_DPLEX.bam
FE838_RS01620	NZ_CP040530.1	333711	333821	-	111	932	1803	1123	441	416	1246	647	18	4	15	5	4	4	6	2
FE838_RS01625	NZ_CP040530.1	334001	336880	-	2880	111919	66601	55543	72015	59102	73307	38137	4483	1577	2552	520	1859	2401	926	489
FE838_RS01640	NZ_CP040530.1	337406	338934	-	1529	15994	14881	15139	9021	7681	16201	7222	3796	1294	2305	401	1690	2041	712	390
FE838_RS02815	NZ_CP040530.1	627962	628072	-	111	950	1852	1140	438	416	1238	627	23	3	17	2	4	2	4	3
FE838_RS02820	NZ_CP040530.1	628252	631131	-	2880	112466	67111	55368	72287	59408	73750	37927	4511	1573	2553	484	1851	2332	946	473
FE838_RS02835	NZ_CP040530.1	631657	633184	-	1528	15881	14718	15468	8962	7550	16097	7062	3776	1317	2360	427	1729	2001	642	374
FE838_RS08640	NZ_CP040530.1	2284805	2286333	+	1529	13419	13718	14694	7096	5935	15274	6488	4467	1575	2651	495	2113	2311	840	486
FE838_RS08655	NZ_CP040530.1	2286859	2289738	+	2880	125027	72441	58759	79804	65094	78542	41573	5533	2129	3140	602	2467	3109	1284	617
FE838_RS08660	NZ_CP040530.1	2289856	2289966	+	111	911	1867	1154	432	423	1253	666	28	5	10	0	5	6	7	5
FE838_RS20045	NZ_CP040530.1	5204595	5204705	-	111	867	1813	1127	438	403	1250	620	16	2	3	1	5	6	1	1
FE838_RS20050	NZ_CP040530.1	5204823	5207701	-	2879	107186	61461	46227	69826	57643	65307	34397	4721	1653	2580	567	2053	2504	1033	462
FE838_RS20065	NZ_CP040530.1	5208261	5209785	-	1525	14023	12826	12877	8313	6774	13935	6191	3564	1187	2305	377	1693	1946	629	377
FE838_RS22885	NZ_CP040530.1	5915092	5915202	-	111	939	1731	1165	420	423	1227	644	16	1	17	2	2	3	3	2
FE838_RS22890	NZ_CP040530.1	5915382	5918260	-	2879	110119	64454	51308	71112	58490	68647	35768	4435	1561	2444	494	1961	2407	972	512
FE838_RS22905	NZ_CP040530.1	5918785	5920313	-	1529	15541	15069	15319	8834	7399	16095	7195	3745	1275	2321	370	1634	1971	660	344
Bovatus_RS06420	NZ_CP012938.1	1575437	1575547	-	111	955	2066	1323	494	441	1435	691	15	1	12	4	2	4	7	1
Bovatus_RS06425	NZ_CP012938.1	1575625	1578504	-	2880	147514	152478	169192	93510	76297	188888	93457	3988	1461	2480	604	1885	2259	997	467
Bovatus_RS06440	NZ_CP012938.1	1579064	1580591	-	1528	23029	42843	49626	13555	11092	48752	21052	3610	1266	2338	444	1726	2029	642	331
Bovatus_RS09355	NZ_CP012938.1	2348485	2348595	-	111	1005	1992	1388	471	454	1482	714	17	4	10	1	1	3	2	0
Bovatus_RS09360	NZ_CP012938.1	2348673	2351561	-	2889	145414	150010	165901	92529	75675	184930	92077	4379	1551	2598	635	2030	2437	1014	480
Bovatus_RS09375	NZ_CP012938.1	2352114	2353642	-	1529	23179	43441	49742	13850	11431	48481	21046	3720	1273	2429	405	1802	1914	657	337
Bovatus_RS11785	NZ_CP012938.1	2952906	2953016	-	111	989	2080	1385	518	468	1447	736	47	9	22	7	8	16	6	6
Bovatus_RS11790	NZ_CP012938.1	2953094	2955973	-	2880	143472	145678	160058	91087	74264	178137	89384	4534	1644	2783	696	2083	2688	1022	480
Bovatus_RS11805	NZ_CP012938.1	2956562	2958090	-	1529	27210	53029	63634	15878	13157	60628	26496	3514	1238	2195	425	1576	1775	634	309
Bovatus_RS13245	NZ_CP012938.1	3349042	3349152	-	111	1055	2204	1663	566	446	1682	803	26	7	9	6	0	7	4	2
Bovatus_RS13250	NZ_CP012938.1	3349230	3352109	-	2880	140301	139185	150902	89792	74206	170431	85105	4348	1539	2694	658	2022	2409	1064	519
Bovatus_RS13265	NZ_CP012938.1	3352663	3354187	-	1525	25455	48810	56893	15090	12531	54766	23908	3541	1233	2364	426	1649	1915	671	339
Bovatus_RS19290	NZ_CP012938.1	5127205	5128733	+	1529	20509	41649	49711	11859	9635	47339	20283	4244	1456	2686	482	1911	2250	756	470
Bovatus_RS19305	NZ_CP012938.1	5129293	5132181	+	2889	154809	152522	167745	97658	80099	188604	94538	5049	2006	3104	752	2400	2958	1248	590
Bovatus_RS19310	NZ_CP012938.1	5132259	5132369	+	111	992	2071	1438	549	491	1534	776	25	5	25	3	3	4	6	2
LK433_RS00710	NZ_CP085932.1	161155	161267	-	113	797	410	307	235	127	353	150	19	8	6	1	14	21	1	2
LK433_RS00715	NZ_CP085932.1	161376	164273	-	2898	48343	24757	17424	29490	22878	25167	13834	4644	1602	2816	550	2185	2724	950	432
LK433_RS00720	NZ_CP085932.1	164618	166149	-	1532	11299	9693	10213	5701	4186	10880	4503	4313	1521	2529	501	1949	2157	783	388
LK433_RS02550	NZ_CP085932.1	627102	628633	+	1532	9068	9395	10619	4847	3629	10742	4355	4230	1516	2487	489	1957	2117	802	432
LK433_RS02565	NZ_CP085932.1	629204	632101	+	2898	47238	24072	17157	28752	22428	24612	13669	4668	1651	2876	526	2096	2605	977	405
LK433_RS02570	NZ_CP085932.1	632209	632321	+	113	747	415	342	206	132	369	167	17	5	14	0	9	26	0	0
LK433_RS05035	NZ_CP085932.1	1230467	1231998	+	1532	9396	9632	10632	4757	3785	10965	4387	4281	1467	2527	468	1883	2129	815	441
LK433_RS05050	NZ_CP085932.1	1232567	1235463	+	2897	47328	24436	17316	29201	22709	25232	14132	4432	1605	2793	521	2106	2431	1017	434
LK433_RS05055	NZ_CP085932.1	1235576	1235688	+	113	739	465	366	193	115	347	175	41	5	12	3	14	25	2	0
LK433_RS07820	NZ_CP085932.1	1894175	1895706	+	1532	8872	8989	10162	4474	3511	10440	4120	4316	1476	2588	441	1972	2242	843	439
LK433_RS07825	NZ_CP085932.1	1896114	1899010	+	2897	47129	24213	17226	28982	22612	24496	13827	4391	1480	2794	519	2130	2452	901	425
LK433_RS07830	NZ_CP085932.1	1899118	1899230	+	113	728	443	371	258	124	356	166	35	4	16	5	10	19	2	2
LK433_RS13765	NZ_CP085932.1	3282929	3283041	-	113	635	688	479	264	191	469	198	25	7	7	0	8	16	4	0
