# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "CDS,sRNA" "-g" "locus_tag" "-a" "../data/reference_sequences/p_copri_wplasmids.gff3" "-o" "../data/rna_align/counttable.txt" "../data/rna_align/CON_1.fq.gz.bam" "../data/rna_align/CON_2.fq.gz.bam" "../data/rna_align/PNA_1.fq.gz.bam" "../data/rna_align/PNA_2.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/CON_1.fq.gz.bam	../data/rna_align/CON_2.fq.gz.bam	../data/rna_align/PNA_1.fq.gz.bam	../data/rna_align/PNA_2.fq.gz.bam
LK433_RS00010	NZ_CP085932.1	476	2374	+	1899	1510	2880	2607	946
LK433_RS00015	NZ_CP085932.1	2403	3614	+	1212	2603	4730	3166	1456
LK433_RS00020	NZ_CP085932.1	3727	4920	+	1194	7195	13465	11027	5966
LK433_RS00025	NZ_CP085932.1	5175	6011	+	837	22640	41985	23032	13616
LK433_RS00030	NZ_CP085932.1	6042	6686	+	645	18040	34089	16445	10962
LK433_RS00035	NZ_CP085932.1	6687	7334	+	648	18935	33676	17909	12156
LK433_RS00040	NZ_CP085932.1	7366	8214	+	849	28674	51874	33788	20771
LK433_RS00045	NZ_CP085932.1	8219	9184	+	966	1792	3678	2502	1434
LK433_RS00050	NZ_CP085932.1	9226	10647	+	1422	13631	25180	22008	10451
LK433_RS00055	NZ_CP085932.1	10851	11018	-	168	463	962	1103	372
LK433_RS00060	NZ_CP085932.1	11242	11988	+	747	116	228	246	96
LK433_RS00065	NZ_CP085932.1	12067	14205	-	2139	350	630	746	320
LK433_RS00070	NZ_CP085932.1	14324	16687	-	2364	462	912	1082	572
LK433_RS00075	NZ_CP085932.1	16853	18799	-	1947	154	266	448	159
LK433_RS00080	NZ_CP085932.1	18827	19750	-	924	70	120	190	78
LK433_RS00085	NZ_CP085932.1	19908	21254	-	1347	78	157	265	94
LK433_RS00090	NZ_CP085932.1	21513	23084	-	1572	599	1225	1347	544
LK433_RS00095	NZ_CP085932.1	23207	24769	-	1563	832	1695	1544	645
LK433_RS00100	NZ_CP085932.1	25572	28178	-	2607	1015	1947	1531	850
LK433_RS00105	NZ_CP085932.1	28311	29873	-	1563	359	639	570	268
LK433_RS00110	NZ_CP085932.1	30035	32572	-	2538	123	188	413	109
LK433_RS00115	NZ_CP085932.1	32639	34129	-	1491	70	103	282	84
LK433_RS00120	NZ_CP085932.1	34150	34824	-	675	24	37	125	37
LK433_RS00125	NZ_CP085932.1	34868	37384	-	2517	122	190	458	142
LK433_RS00130	NZ_CP085932.1	37503	37661	-	159	12	21	27	10
LK433_RS00135	NZ_CP085932.1	38023	39933	+	1911	112	190	485	157
LK433_RS00140	NZ_CP085932.1	40942	41823	+	882	996	1735	1810	900
LK433_RS00145	NZ_CP085932.1	41983	42441	+	459	538	1076	1141	501
LK433_RS00150	NZ_CP085932.1	42891	43814	+	924	562	1050	1025	532
LK433_RS00155	NZ_CP085932.1	43974	44432	+	459	62	120	102	48
LK433_RS00160	NZ_CP085932.1	44600	46057	-	1458	245	434	567	204
LK433_RS00165	NZ_CP085932.1	46061	46999	-	939	40	52	169	38
LK433_RS00170	NZ_CP085932.1	47352	48611	-	1260	79	144	348	92
LK433_RS00175	NZ_CP085932.1	48639	50099	-	1461	94	149	336	92
LK433_RS00180	NZ_CP085932.1	50313	52520	-	2208	150	282	634	183
LK433_RS00185	NZ_CP085932.1	52569	53642	-	1074	88	125	324	70
LK433_RS00190	NZ_CP085932.1	53664	55469	-	1806	102	214	448	114
LK433_RS00195	NZ_CP085932.1	55492	58359	-	2868	198	355	595	184
LK433_RS00200	NZ_CP085932.1	58399	60333	-	1935	111	247	390	133
LK433_RS00205	NZ_CP085932.1	60383	63529	-	3147	201	383	629	157
LK433_RS00210	NZ_CP085932.1	63650	65029	-	1380	69	102	331	67
LK433_RS00215	NZ_CP085932.1	65522	69628	+	4107	777	1357	807	256
LK433_RS00220	NZ_CP085932.1	69836	71506	+	1671	299	524	448	154
LK433_RS00225	NZ_CP085932.1	71595	72428	-	834	399	625	517	243
LK433_RS00230	NZ_CP085932.1	72507	73238	-	732	334	580	407	216
LK433_RS00235	NZ_CP085932.1	73552	73917	+	366	10731	20672	27341	8707
LK433_RS00240	NZ_CP085932.1	74070	74294	-	225	218	381	810	257
LK433_RS00245	NZ_CP085932.1	74507	75691	+	1185	5429	10089	10776	6462
LK433_RS00250	NZ_CP085932.1	75713	75913	+	201	906	1568	1712	1077
