# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "rRNA" "-g" "locus_tag" "-a" "../data/reference_sequences/p_copri_wplasmids.gff3" "-o" "../data/rna_align/rRNA_counttable.txt" "../data/rna_align/CON_0_1.fq.gz.bam" "../data/rna_align/CON_0_2.fq.gz.bam" "../data/rna_align/CON_0_3.fq.gz.bam" "../data/rna_align/CON_10_1.fq.gz.bam" "../data/rna_align/CON_10_2.fq.gz.bam" "../data/rna_align/CON_10_3.fq.gz.bam" "../data/rna_align/CON_20_1.fq.gz.bam" "../data/rna_align/CON_20_2.fq.gz.bam" "../data/rna_align/CON_20_3.fq.gz.bam" "../data/rna_align/CON_30_1.fq.gz.bam" "../data/rna_align/CON_30_2.fq.gz.bam" "../data/rna_align/CON_30_3.fq.gz.bam" "../data/rna_align/CON_60_1.fq.gz.bam" "../data/rna_align/CON_60_2.fq.gz.bam" "../data/rna_align/CON_60_3.fq.gz.bam" "../data/rna_align/PNA_0_1.fq.gz.bam" "../data/rna_align/PNA_0_2.fq.gz.bam" "../data/rna_align/PNA_0_3.fq.gz.bam" "../data/rna_align/PNA_10_1.fq.gz.bam" "../data/rna_align/PNA_10_2.fq.gz.bam" "../data/rna_align/PNA_10_3.fq.gz.bam" "../data/rna_align/PNA_20_1.fq.gz.bam" "../data/rna_align/PNA_20_2.fq.gz.bam" "../data/rna_align/PNA_20_3.fq.gz.bam" "../data/rna_align/PNA_30_1.fq.gz.bam" "../data/rna_align/PNA_30_2.fq.gz.bam" "../data/rna_align/PNA_30_3.fq.gz.bam" "../data/rna_align/PNA_60_1.fq.gz.bam" "../data/rna_align/PNA_60_2.fq.gz.bam" "../data/rna_align/PNA_60_3.fq.gz.bam" "../data/rna_align/SCR_0_1.fq.gz.bam" "../data/rna_align/SCR_0_2.fq.gz.bam" "../data/rna_align/SCR_0_3.fq.gz.bam" "../data/rna_align/SCR_10_1.fq.gz.bam" "../data/rna_align/SCR_10_2.fq.gz.bam" "../data/rna_align/SCR_10_3.fq.gz.bam" "../data/rna_align/SCR_20_1.fq.gz.bam" "../data/rna_align/SCR_20_2.fq.gz.bam" "../data/rna_align/SCR_20_3.fq.gz.bam" "../data/rna_align/SCR_30_1.fq.gz.bam" "../data/rna_align/SCR_30_2.fq.gz.bam" "../data/rna_align/SCR_30_3.fq.gz.bam" "../data/rna_align/SCR_60_1.fq.gz.bam" "../data/rna_align/SCR_60_2.fq.gz.bam" "../data/rna_align/SCR_60_3.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/CON_0_1.fq.gz.bam	../data/rna_align/CON_0_2.fq.gz.bam	../data/rna_align/CON_0_3.fq.gz.bam	../data/rna_align/CON_10_1.fq.gz.bam	../data/rna_align/CON_10_2.fq.gz.bam	../data/rna_align/CON_10_3.fq.gz.bam	../data/rna_align/CON_20_1.fq.gz.bam	../data/rna_align/CON_20_2.fq.gz.bam	../data/rna_align/CON_20_3.fq.gz.bam	../data/rna_align/CON_30_1.fq.gz.bam	../data/rna_align/CON_30_2.fq.gz.bam	../data/rna_align/CON_30_3.fq.gz.bam	../data/rna_align/CON_60_1.fq.gz.bam	../data/rna_align/CON_60_2.fq.gz.bam	../data/rna_align/CON_60_3.fq.gz.bam	../data/rna_align/PNA_0_1.fq.gz.bam	../data/rna_align/PNA_0_2.fq.gz.bam	../data/rna_align/PNA_0_3.fq.gz.bam	../data/rna_align/PNA_10_1.fq.gz.bam	../data/rna_align/PNA_10_2.fq.gz.bam	../data/rna_align/PNA_10_3.fq.gz.bam	../data/rna_align/PNA_20_1.fq.gz.bam	../data/rna_align/PNA_20_2.fq.gz.bam	../data/rna_align/PNA_20_3.fq.gz.bam	../data/rna_align/PNA_30_1.fq.gz.bam	../data/rna_align/PNA_30_2.fq.gz.bam	../data/rna_align/PNA_30_3.fq.gz.bam	../data/rna_align/PNA_60_1.fq.gz.bam	../data/rna_align/PNA_60_2.fq.gz.bam	../data/rna_align/PNA_60_3.fq.gz.bam	../data/rna_align/SCR_0_1.fq.gz.bam	../data/rna_align/SCR_0_2.fq.gz.bam	../data/rna_align/SCR_0_3.fq.gz.bam	../data/rna_align/SCR_10_1.fq.gz.bam	../data/rna_align/SCR_10_2.fq.gz.bam	../data/rna_align/SCR_10_3.fq.gz.bam	../data/rna_align/SCR_20_1.fq.gz.bam	../data/rna_align/SCR_20_2.fq.gz.bam	../data/rna_align/SCR_20_3.fq.gz.bam	../data/rna_align/SCR_30_1.fq.gz.bam	../data/rna_align/SCR_30_2.fq.gz.bam	../data/rna_align/SCR_30_3.fq.gz.bam	../data/rna_align/SCR_60_1.fq.gz.bam	../data/rna_align/SCR_60_2.fq.gz.bam	../data/rna_align/SCR_60_3.fq.gz.bam
LK433_RS00710	NZ_CP085932.1	161155	161267	-	113	46	63	83	37	193	145	113	65	67	35	85	79	71	72	87	86	12	25	57	50	79	116	141	77	13	69	42	47	52	40	56	58	55	30	143	160	122	162	257	115	190	309	148	112	120
LK433_RS00715	NZ_CP085932.1	161376	164273	-	2898	155517	115768	127954	157716	23686	118927	200390	124237	228280	144214	126308	137309	154675	332210	180160	135931	134002	121818	124494	342234	137948	183486	177983	124235	141512	118282	183391	196375	91576	110698	388591	95893	120632	133889	92307	158693	182280	132598	115877	70494	224219	97384	355057	206492	100590
LK433_RS00720	NZ_CP085932.1	164618	166149	-	1532	23535	14180	30261	17227	10340	25172	50103	20618	37632	25131	20533	24380	23785	83921	25337	18751	15475	12633	14010	28057	19361	29464	67198	27518	16867	21796	30408	29394	22978	16588	34976	51946	18664	16621	16968	30051	35797	31912	31807	13600	32792	24636	45320	37492	24188
LK433_RS02550	NZ_CP085932.1	627102	628633	+	1532	20650	13584	14640	16737	2607	20255	39686	17496	32196	24174	18859	21118	23838	66106	23357	15995	15263	13608	15227	31772	15933	23296	23187	18787	16755	18209	28273	28612	11135	14048	41212	11783	16437	17498	10991	20066	29335	19430	14959	10371	29911	8813	37536	26744	16131
LK433_RS02565	NZ_CP085932.1	629204	632101	+	2898	110821	89154	74665	121087	10950	86585	112331	85055	143852	101071	88515	87637	106159	199314	128397	98866	110162	102029	108305	296004	99545	113136	79597	71408	118695	79498	116853	132556	57451	84433	334501	27159	91941	112155	72793	108241	105144	75230	61809	49218	147204	60579	201902	129026	61167
LK433_RS02570	NZ_CP085932.1	632209	632321	+	113	19	41	29	32	10	32	51	13	19	22	41	35	30	38	31	14	10	11	14	15	35	21	69	37	2	27	10	12	18	7	26	9	9	9	10	25	76	31	25	57	64	18	45	33	24
LK433_RS05035	NZ_CP085932.1	1230467	1231998	+	1532	4150	2669	2180	2882	379	4463	6794	3167	5183	4194	3054	3499	3614	16391	4496	2940	2705	3272	3093	6225	3006	3902	3111	3058	3561	3174	4832	4104	1625	2809	6156	1710	3241	3510	2213	3783	5051	3894	2415	1878	5148	1795	6483	4641	3519
LK433_RS05050	NZ_CP085932.1	1232567	1235463	+	2897	9280	7195	6216	8935	1355	7308	11172	7107	12996	8534	7222	7907	8776	18301	10183	8007	6861	7419	7311	17472	8358	10233	7326	6769	7892	7450	11002	11097	3861	6100	23579	2742	7149	9215	6767	10409	12148	8348	8529	4642	13647	5948	18955	12709	6832
LK433_RS05055	NZ_CP085932.1	1235576	1235688	+	113	13	0	14	1	4	12	9	6	4	14	3	9	4	8	0	7	9	6	0	0	0	2	4	6	21	0	7	12	0	7	8	0	1	1	0	0	11	1	1	0	9	0	5	2	5
LK433_RS07820	NZ_CP085932.1	1894175	1895706	+	1532	1892	1423	1263	1347	209	1933	3862	1739	2891	2319	1918	2194	2489	6536	2026	1373	1310	1074	1212	3312	1174	2122	1673	1786	1570	1967	2625	2461	1081	1357	3409	526	1743	1502	1072	1496	2963	1659	1117	1043	2810	802	3421	2361	1279
LK433_RS07825	NZ_CP085932.1	1896114	1899010	+	2897	8170	7705	6557	10179	915	7196	10179	7354	11958	7556	6809	7826	8862	16312	10508	8178	7676	6572	7649	22917	8248	9355	6419	6367	9614	5889	8777	11163	4690	6989	25988	1768	7449	7660	5309	8204	8954	6452	5622	3945	11801	4639	18970	10667	4936
LK433_RS07830	NZ_CP085932.1	1899118	1899230	+	113	1	13	0	1	5	0	4	5	0	1	0	2	0	2	0	2	0	0	0	0	1	0	5	1	1	4	0	0	0	0	0	1	0	0	1	0	1	11	5	0	2	0	4	0	0
LK433_RS13765	NZ_CP085932.1	3282929	3283041	-	113	6	16	11	7	31	8	21	10	8	13	18	15	18	9	16	25	10	9	9	13	11	18	34	19	6	25	13	10	9	8	3	36	21	10	27	25	36	20	53	25	25	40	26	16	11
LK433_RS13770	NZ_CP085932.1	3283162	3286057	-	2896	7129	5871	5358	8282	774	5751	8748	6248	10387	6462	5647	6579	6971	13938	8077	6450	6239	5024	5959	17147	6926	8495	5689	5241	7326	4883	7969	9263	3962	5671	20270	2275	6083	5918	4859	7315	8120	6067	5381	3651	10691	4558	15787	9181	4757
LK433_RS13775	NZ_CP085932.1	3286452	3287983	-	1532	1232	750	687	809	302	1267	2547	1009	2049	1371	960	1395	1358	4118	1300	853	683	691	634	1762	858	1628	1512	1126	758	1136	1802	1819	406	801	2064	569	742	1068	686	1196	2111	1276	1114	467	1767	879	2326	1467	1140
LK433_RS14740	NZ_CP085934.1	10463	10575	-	113	0	7	0	3	2	0	8	0	3	4	2	6	1	2	0	0	0	0	0	2	2	4	9	0	0	0	0	0	0	0	1	6	0	0	0	1	0	0	0	0	0	9	0	5	8
