# Species	Genes	Alg.-Conn.	b_theta_cds.fasta	b_theta_cds_orig.fasta
2	16	0.5	BT_0358,BT_0918,BT_1892,BT_2399,BT_2427,BT_2674,BT_3634,BT_4578	FE838_RS01470,FE838_RS01650,FE838_RS02850,FE838_RS07655,FE838_RS12395,FE838_RS15215,FE838_RS18090,FE838_RS23030
2	16	0.484	BT_0359,BT_0919,BT_1891,BT_2398,BT_2428,BT_2673,BT_3635,BT_4577	FE838_RS01465,FE838_RS01655,FE838_RS02845,FE838_RS07660,FE838_RS12390,FE838_RS15220,FE838_RS18095,FE838_RS23025
2	14	0.5	BT_1869,BT_2138,BT_2556,BT_3480,BT_3707,BT_3826,BT_4291	FE838_RS02270,FE838_RS06960,FE838_RS08010,FE838_RS08610,FE838_RS10975,FE838_RS22910,FE838_RS24265
2	13	0.462	BT_0485,BT_1603,BT_1756,BT_3068,BT_3795,BT_4740	FE838_RS04885,FE838_RS08455,FE838_RS13200,FE838_RS15855,FE838_RS19745,FE838_RS21565,FE838_RS22350
2	13	0.462	BT_1870,BT_2137,BT_2557,BT_3479,BT_3706,BT_3825,BT_4290	FE838_RS02275,FE838_RS06965,FE838_RS08005,FE838_RS08605,FE838_RS22915,FE838_RS24260
2	7	0.416	BT_1602,BT_2558,BT_4392	FE838_RS02280,FE838_RS10225,FE838_RS11470,FE838_RS21560
2	6	0.5	BT_0280,BT_1996,BT_2763	FE838_RS03335,FE838_RS14845,FE838_RS23535
2	6	0.5	BT_1893,BT_3416,BT_4580	FE838_RS06610,FE838_RS12400,FE838_RS23035
2	5	0.4	BT_1821,BT_2222	FE838_RS00585,FE838_RS14115,FE838_RS22675
2	4	0.5	BT_2350,BT_4276	FE838_RS01230,FE838_RS10900
2	4	0.5	BT_2351,BT_4277	FE838_RS01235,FE838_RS10905
2	4	0.5	BT_2426,BT_2672	FE838_RS01645,FE838_RS02840
2	4	0.499	BT_2352,BT_4278	FE838_RS01240,FE838_RS10910
2	4	0.486	BT_0022,BT_0075	FE838_RS13580,FE838_RS13825
