# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "rRNA" "-g" "locus_tag" "-a" "../data/reference_sequences/p_copri_wplasmids.gff3" "-o" "../data/rna_align/rRNA_counttable.txt" "../data/rna_align/CON_1.fq.gz.bam" "../data/rna_align/CON_2.fq.gz.bam" "../data/rna_align/PNA_1.fq.gz.bam" "../data/rna_align/PNA_2.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/CON_1.fq.gz.bam	../data/rna_align/CON_2.fq.gz.bam	../data/rna_align/PNA_1.fq.gz.bam	../data/rna_align/PNA_2.fq.gz.bam
LK433_RS00710	NZ_CP085932.1	161155	161267	-	113	116	223	248	76
LK433_RS00715	NZ_CP085932.1	161376	164273	-	2898	133519	266016	281004	225116
LK433_RS00720	NZ_CP085932.1	164618	166149	-	1532	29406	56995	54821	32487
LK433_RS02550	NZ_CP085932.1	627102	628633	+	1532	21371	42781	43655	30609
LK433_RS02565	NZ_CP085932.1	629204	632101	+	2898	93454	192765	225006	196564
LK433_RS02570	NZ_CP085932.1	632209	632321	+	113	20	52	49	21
LK433_RS05035	NZ_CP085932.1	1230467	1231998	+	1532	5279	10205	9778	6494
LK433_RS05050	NZ_CP085932.1	1232567	1235463	+	2897	9023	17385	12314	10385
LK433_RS05055	NZ_CP085932.1	1235576	1235688	+	113	1	8	10	2
LK433_RS07820	NZ_CP085932.1	1894175	1895706	+	1532	2050	4304	3561	2519
LK433_RS07825	NZ_CP085932.1	1896114	1899010	+	2897	9194	18760	20525	17476
LK433_RS07830	NZ_CP085932.1	1899118	1899230	+	113	0	12	1	2
LK433_RS13765	NZ_CP085932.1	3282929	3283041	-	113	13	29	49	18
LK433_RS13770	NZ_CP085932.1	3283162	3286057	-	2896	7834	15060	18788	16250
LK433_RS13775	NZ_CP085932.1	3286452	3287983	-	1532	1591	3225	3140	2242
LK433_RS14740	NZ_CP085934.1	10463	10575	-	113	0	7	0	2
LK433_RS14745	NZ_CP085934.1	10683	13580	-	2898	3527	6883	4593	3652
LK433_RS14750	NZ_CP085934.1	13984	15515	-	1532	996	1902	1827	868
